variant,epoch,batch,loss,lr
v002_recall_pos2_dice02,0,89,0.46743857860565186,0.001
v002_recall_pos2_dice02,0,90,0.42020541429519653,0.001
v002_recall_pos2_dice02,0,91,0.36561596393585205,0.001
v002_recall_pos2_dice02,0,92,0.36658942699432373,0.001
v002_recall_pos2_dice02,0,93,0.35870158672332764,0.001
v002_recall_pos2_dice02,0,94,0.3268989622592926,0.001
v002_recall_pos2_dice02,0,95,0.3177140951156616,0.001
v002_recall_pos2_dice02,0,96,0.3234020471572876,0.001
v002_recall_pos2_dice02,0,97,0.3544417917728424,0.001
v002_recall_pos2_dice02,0,98,0.3728865087032318,0.001
v002_recall_pos2_dice02,1,0,0.3511854410171509,0.001
v002_recall_pos2_dice02,1,1,0.3533463776111603,0.001
v002_recall_pos2_dice02,1,2,0.31283509731292725,0.001
v002_recall_pos2_dice02,1,3,0.2987246811389923,0.001
v002_recall_pos2_dice02,1,4,0.40336698293685913,0.001
v002_recall_pos2_dice02,1,5,0.44103169441223145,0.001
v002_recall_pos2_dice02,1,6,0.3356504738330841,0.001
v002_recall_pos2_dice02,1,7,0.4120769500732422,0.001
v002_recall_pos2_dice02,1,8,0.295332670211792,0.001
v002_recall_pos2_dice02,1,9,0.3430860936641693,0.001
v002_recall_pos2_dice02,1,10,0.2999219596385956,0.001
v002_recall_pos2_dice02,1,11,0.2928323745727539,0.001
v002_recall_pos2_dice02,1,12,0.3127802610397339,0.001
v002_recall_pos2_dice02,1,13,0.31046003103256226,0.001
v002_recall_pos2_dice02,1,14,0.3572567403316498,0.001
v002_recall_pos2_dice02,1,15,0.31293606758117676,0.001
v002_recall_pos2_dice02,1,16,0.3770015239715576,0.001
v002_recall_pos2_dice02,1,17,0.3593893051147461,0.001
v002_recall_pos2_dice02,1,18,0.3435710072517395,0.001
v002_recall_pos2_dice02,1,19,0.29050639271736145,0.001
v002_recall_pos2_dice02,1,20,0.3890356421470642,0.001
v002_recall_pos2_dice02,1,21,0.29169678688049316,0.001
v002_recall_pos2_dice02,1,22,0.28400400280952454,0.001
v002_recall_pos2_dice02,1,23,0.2881906032562256,0.001
v002_recall_pos2_dice02,1,24,0.3160709738731384,0.001
v002_recall_pos2_dice02,1,25,0.29690873622894287,0.001
v002_recall_pos2_dice02,1,26,0.29332235455513,0.001
v002_recall_pos2_dice02,1,27,0.2990042567253113,0.001
v002_recall_pos2_dice02,1,28,0.3968636393547058,0.001
v002_recall_pos2_dice02,1,29,0.4115321636199951,0.001
v002_recall_pos2_dice02,1,30,0.32796716690063477,0.001
v002_recall_pos2_dice02,1,31,0.28129392862319946,0.001
v002_recall_pos2_dice02,1,32,0.2891765832901001,0.001
v002_recall_pos2_dice02,1,33,0.30669939517974854,0.001
v002_recall_pos2_dice02,1,34,0.33522936701774597,0.001
v002_recall_pos2_dice02,1,35,0.35435324907302856,0.001
v002_recall_pos2_dice02,1,36,0.2982269525527954,0.001
v002_recall_pos2_dice02,1,37,0.3248307406902313,0.001
v002_recall_pos2_dice02,1,38,0.2979430854320526,0.001
v002_recall_pos2_dice02,1,39,0.3767751157283783,0.001
v002_recall_pos2_dice02,1,40,0.28422972559928894,0.001
v002_recall_pos2_dice02,1,41,0.30482417345046997,0.001
v002_recall_pos2_dice02,1,42,0.2795124351978302,0.001
v002_recall_pos2_dice02,1,43,0.30894607305526733,0.001
v002_recall_pos2_dice02,1,44,0.3022462725639343,0.001
v002_recall_pos2_dice02,1,45,0.2709551751613617,0.001
v002_recall_pos2_dice02,1,46,0.2606928050518036,0.001
v002_recall_pos2_dice02,1,47,0.26838648319244385,0.001
v002_recall_pos2_dice02,1,48,0.31256961822509766,0.001
v002_recall_pos2_dice02,1,49,0.3173203766345978,0.001
v002_recall_pos2_dice02,1,50,0.2675459682941437,0.001
v002_recall_pos2_dice02,1,51,0.27471923828125,0.001
v002_recall_pos2_dice02,1,52,0.3102439045906067,0.001
v002_recall_pos2_dice02,1,53,0.25392234325408936,0.001
v002_recall_pos2_dice02,1,54,0.3741913437843323,0.001
v002_recall_pos2_dice02,1,55,0.2649781405925751,0.001
v002_recall_pos2_dice02,1,56,0.32189956307411194,0.001
v002_recall_pos2_dice02,1,57,0.2541922330856323,0.001
v002_recall_pos2_dice02,1,58,0.2859240770339966,0.001
v002_recall_pos2_dice02,1,59,0.2904766798019409,0.001
v002_recall_pos2_dice02,1,60,0.2571188509464264,0.001
v002_recall_pos2_dice02,1,61,0.24520167708396912,0.001
v002_recall_pos2_dice02,1,62,0.3571462035179138,0.001
v002_recall_pos2_dice02,1,63,0.308182954788208,0.001
v002_recall_pos2_dice02,1,64,0.28179192543029785,0.001
v002_recall_pos2_dice02,1,65,0.35120540857315063,0.001
v002_recall_pos2_dice02,1,66,0.30638450384140015,0.001
v002_recall_pos2_dice02,1,67,0.27872711420059204,0.001
v002_recall_pos2_dice02,1,68,0.41269999742507935,0.001
v002_recall_pos2_dice02,1,69,0.3559719920158386,0.001
v002_recall_pos2_dice02,1,70,0.26517337560653687,0.001
v002_recall_pos2_dice02,1,71,0.2941771149635315,0.001
v002_recall_pos2_dice02,1,72,0.31409043073654175,0.001
