variant,epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
v002_d_pool_retrain,0,0.23095454727158402,0.1661137193441391,0.33639609813690186,0.1661137193441391,,,,
v002_d_pool_retrain,1,0.14828441901640457,0.1122310608625412,0.22137963771820068,0.1122310608625412,,,,
v002_d_pool_retrain,2,0.10324213473182736,0.07535096257925034,0.1791953295469284,0.07535096257925034,,,,
v002_d_pool_retrain,3,0.07531394779381126,0.05536550655961037,0.15806405246257782,0.05536550655961037,,,,
v002_d_pool_retrain,4,0.05727276661329799,0.04134630784392357,0.12462471425533295,0.04134630784392357,,,,
v002_d_pool_retrain,5,0.046038096112133275,0.03399104252457619,0.10279997438192368,0.03399104252457619,,,,
v002_d_pool_retrain,6,0.0393905762131467,0.02645985595881939,0.11490246653556824,0.02645985595881939,,,,
v002_d_pool_retrain,7,0.035451762923839114,0.023925669491291046,0.06378906220197678,0.023925669491291046,,,,
v002_d_pool_retrain,8,0.03108474649865218,0.018283113837242126,0.06600769609212875,0.018283113837242126,,,,
v002_d_pool_retrain,9,0.02805783168760815,0.015971457585692406,0.060112930834293365,0.015971457585692406,,,,
v002_d_pool_retrain,10,0.026061771672708216,0.015045714564621449,0.046750523149967194,0.015045714564621449,,,,
v002_d_pool_retrain,11,0.025289825953994736,0.014924370683729649,0.04403248056769371,0.014924370683729649,,,,
v002_d_pool_retrain,12,0.025042183763074755,0.01435360498726368,0.04366641119122505,0.01435360498726368,,,,
v002_d_pool_retrain,13,0.024576109523574512,0.0143937012180686,0.043519724160432816,0.01435360498726368,,,,
v002_d_pool_retrain,14,0.024300624757553593,0.013895388692617416,0.043412499129772186,0.013895388692617416,,,,
v002_d_pool_retrain,15,0.024081591714286442,0.013851942494511604,0.04251262545585632,0.013851942494511604,,,,
v002_d_pool_retrain,16,0.023804580905672276,0.013883632607758045,0.04168178141117096,0.013851942494511604,,,,
v002_d_pool_retrain,17,0.02343428209235873,0.013094448484480381,0.04253539443016052,0.013094448484480381,,,,
v002_d_pool_retrain,18,0.023270995939395044,0.013059417717158794,0.040957868099212646,0.013059417717158794,,,,
v002_d_pool_retrain,19,0.02293493461353008,0.013062176294624805,0.04084993898868561,0.013059417717158794,,,,
v002_d_pool_retrain,20,0.0226939573150241,0.012034296989440918,0.04057580605149269,0.012034296989440918,,,,
v002_d_pool_retrain,21,0.022650089208977393,0.01253154780715704,0.04100567847490311,0.012034296989440918,,,,
v002_d_pool_retrain,22,0.022552879640098774,0.012771708890795708,0.040615469217300415,0.012034296989440918,,,,
v002_d_pool_retrain,23,0.022612187606894006,0.012745917774736881,0.040574852377176285,0.012034296989440918,,,,
v002_d_pool_retrain,24,0.022705191934500078,0.012379557825624943,0.04018090292811394,0.012034296989440918,,,,
v002_d_pool_retrain,25,0.022520708550482688,0.013021758757531643,0.03900216147303581,0.012034296989440918,,,,
v002_d_pool_retrain,26,0.02242891185662963,0.012291092425584793,0.03939124569296837,0.012034296989440918,,,,
v002_d_pool_retrain,27,0.02236019867011393,0.012439381331205368,0.0409356988966465,0.012034296989440918,,,,
v002_d_pool_retrain,28,0.022340745618096507,0.012357648462057114,0.03986970707774162,0.012034296989440918,,,,
v002_d_pool_retrain,29,0.02235869075538534,0.011954565532505512,0.03943470120429993,0.011954565532505512,,,,
v002_d_pool_retrain,30,0.022340387068312578,0.012126551009714603,0.04053448513150215,0.011954565532505512,,,,
v002_d_pool_retrain,31,0.022344233007217298,0.01261055376380682,0.039526306092739105,0.011954565532505512,,,,
v002_d_pool_retrain,32,0.0222940839300252,0.011977569200098515,0.04000180587172508,0.011954565532505512,,,,
v002_d_pool_retrain,33,0.022341145842213823,0.012082354165613651,0.04053206741809845,0.011954565532505512,,,,
v002_d_pool_retrain,34,0.022351918356361414,0.011973266489803791,0.04060322791337967,0.011954565532505512,,,,
v002_d_pool_retrain,35,0.022450021985504363,0.012349977158010006,0.039880577474832535,0.011954565532505512,,,,
v002_d_pool_retrain,36,0.02229423222668243,0.012361779808998108,0.039473697543144226,0.011954565532505512,,,,
v002_d_pool_retrain,37,0.022293004687085297,0.012063751928508282,0.039739713072776794,0.011954565532505512,,,,
v002_d_pool_retrain,38,0.022219705216661848,0.011944606900215149,0.03863196820020676,0.011944606900215149,,,,
v002_d_pool_retrain,39,0.022266863092704856,0.012056121602654457,0.03910377249121666,0.011944606900215149,,,,
v002_d_pool_retrain,40,0.02235839088833091,0.011737421154975891,0.040421318262815475,0.011737421154975891,0.6426158012029427,0.8187646933105365,0.8704325913481731,0.0001858650042046643
v002_d_pool_retrain,41,0.02229018094526096,0.012353921309113503,0.04026087000966072,0.011737421154975891,0.6426192187874431,0.8187494275333558,0.8704325913481731,0.0001858472280027797
