variant,epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
v002_recall_pos2_dice02,0,0.4157931359127314,0.3177140951156616,0.5627915859222412,0.3177140951156616,,,,
v002_recall_pos2_dice02,1,0.3066935745453594,0.21607095003128052,0.44103169441223145,0.21607095003128052,,,,
v002_recall_pos2_dice02,2,0.23814657947631798,0.1517803817987442,0.36983123421669006,0.1517803817987442,,,,
v002_recall_pos2_dice02,3,0.18896749307109853,0.10169322043657303,0.3447985053062439,0.10169322043657303,,,,
v002_recall_pos2_dice02,4,0.15411660601996413,0.0797436535358429,0.3189026117324829,0.0797436535358429,,,,
v002_recall_pos2_dice02,5,0.1300122740894857,0.06088517606258392,0.26903077960014343,0.06088517606258392,,,,
v002_recall_pos2_dice02,6,0.11734755578065159,0.05256028473377228,0.27223628759384155,0.05256028473377228,,,,
v002_recall_pos2_dice02,7,0.11579230638465496,0.05048459768295288,0.44675904512405396,0.05048459768295288,,,,
v002_recall_pos2_dice02,8,0.103609606698908,0.04392627999186516,0.27917128801345825,0.04392627999186516,,,,
v002_recall_pos2_dice02,9,0.09644849989751372,0.03969988226890564,0.25789982080459595,0.03969988226890564,,,,
v002_recall_pos2_dice02,10,0.09054237555223282,0.0364665649831295,0.24829687178134918,0.0364665649831295,,,,
v002_recall_pos2_dice02,11,0.0888779146427458,0.03503286466002464,0.2379516065120697,0.03503286466002464,,,,
v002_recall_pos2_dice02,12,0.08772128643562095,0.03414417803287506,0.2328011691570282,0.03414417803287506,,,,
v002_recall_pos2_dice02,13,0.08712152609921466,0.033243391662836075,0.2385978251695633,0.033243391662836075,,,,
v002_recall_pos2_dice02,14,0.08565705570608678,0.03382106125354767,0.22717994451522827,0.033243391662836075,,,,
v002_recall_pos2_dice02,15,0.08537384792409762,0.03422589227557182,0.23018130660057068,0.033243391662836075,,,,
v002_recall_pos2_dice02,16,0.08453951380921132,0.033066485077142715,0.22468417882919312,0.033066485077142715,,,,
v002_recall_pos2_dice02,17,0.08351929640077581,0.03320000693202019,0.22900405526161194,0.033066485077142715,,,,
v002_recall_pos2_dice02,18,0.08345099961893125,0.030896516516804695,0.23092995584011078,0.030896516516804695,,,,
v002_recall_pos2_dice02,19,0.08199963338597856,0.032210178673267365,0.2306998074054718,0.030896516516804695,,,,
v002_recall_pos2_dice02,20,0.08208639987490395,0.029704928398132324,0.24284547567367554,0.029704928398132324,,,,
v002_recall_pos2_dice02,21,0.08108963896379326,0.030001234263181686,0.23426494002342224,0.029704928398132324,,,,
v002_recall_pos2_dice02,22,0.08099162228631251,0.029501408338546753,0.22475315630435944,0.029501408338546753,,,,
v002_recall_pos2_dice02,23,0.08102387697859244,0.02950470894575119,0.22379393875598907,0.029501408338546753,,,,
v002_recall_pos2_dice02,24,0.0808240972421687,0.029950039461255074,0.2234785258769989,0.029501408338546753,,,,
v002_recall_pos2_dice02,25,0.08097749209087907,0.029094895347952843,0.22788125276565552,0.029094895347952843,,,,
v002_recall_pos2_dice02,26,0.0811277927661484,0.02954687736928463,0.22562704980373383,0.029094895347952843,,,,
v002_recall_pos2_dice02,27,0.08076745809780227,0.02976887673139572,0.22685620188713074,0.029094895347952843,,,,
v002_recall_pos2_dice02,28,0.08084189126061068,0.029150275513529778,0.22544541954994202,0.029094895347952843,,,,
v002_recall_pos2_dice02,29,0.08010847631352719,0.029604187235236168,0.2259223461151123,0.029094895347952843,,,,
v002_recall_pos2_dice02,30,0.08108169566651788,0.029219351708889008,0.22802628576755524,0.029094895347952843,,,,
v002_recall_pos2_dice02,31,0.08041629889471964,0.02859761379659176,0.24156494438648224,0.02859761379659176,,,,
v002_recall_pos2_dice02,32,0.08084953169931065,0.029486067593097687,0.22692260146141052,0.02859761379659176,,,,
v002_recall_pos2_dice02,33,0.08052472051496458,0.029011696577072144,0.22484353184700012,0.02859761379659176,,,,
v002_recall_pos2_dice02,34,0.08063549634934676,0.029344767332077026,0.22455982863903046,0.02859761379659176,,,,
v002_recall_pos2_dice02,35,0.08057541851744507,0.029588893055915833,0.22135378420352936,0.02859761379659176,,,,
v002_recall_pos2_dice02,36,0.08085970351039762,0.03004925325512886,0.22927342355251312,0.02859761379659176,,,,
v002_recall_pos2_dice02,37,0.08041375709904565,0.02944421023130417,0.22604700922966003,0.02859761379659176,,,,
v002_recall_pos2_dice02,38,0.08014032306770484,0.029601993039250374,0.23391905426979065,0.02859761379659176,,,,
v002_recall_pos2_dice02,39,0.07996096552321405,0.029731683433055878,0.22820301353931427,0.02859761379659176,,,,
v002_recall_pos2_dice02,40,0.08089816720798762,0.02967853471636772,0.26597893238067627,0.02859761379659176,0.6285506527083646,0.831328427930266,0.8941621167576649,0.0002222173370585932
v002_recall_pos2_dice02,41,0.08080333042325395,0.02927199751138687,0.23522233963012695,0.02859761379659176,0.6285651626903055,0.831328427930266,0.8941621167576649,0.00022186477572121605
v002_recall_pos2_dice02,42,0.08048840905680801,0.029395420104265213,0.22663094103336334,0.02859761379659176,0.6285651626903055,0.831328427930266,0.8941621167576649,0.00022186477572121605
v002_recall_pos2_dice02,43,0.08034024257777315,0.02965386211872101,0.22418175637722015,0.02859761379659176,0.6285796733421827,0.831328427930266,0.8941621167576649,0.0002218529249199597
v002_recall_pos2_dice02,44,0.08022476435460225,0.0299217626452446,0.21975581347942352,0.02859761379659176,0.6285724179324992,0.831328427930266,0.8941621167576649,0.00022185885032058788
v002_recall_pos2_dice02,45,0.0800388151911473,0.029335545375943184,0.22906124591827393,0.02859761379659176,0.6285724179324992,0.831328427930266,0.8941621167576649,0.000221894402724357
v002_recall_pos2_dice02,46,0.08072468502955003,0.0296158529818058,0.22681273519992828,0.02859761379659176,0.6285796733421827,0.831328427930266,0.8941621167576649,0.0002218884773237288
v002_recall_pos2_dice02,47,0.08087833127891174,0.02919413521885872,0.23036453127861023,0.02859761379659176,0.6285796733421827,0.831328427930266,0.8941621167576649,0.00022187070112184425
v002_recall_pos2_dice02,48,0.08052890627372145,0.028864089399576187,0.2202889323234558,0.02859761379659176,0.6285941846640426,0.831328427930266,0.8941621167576649,0.00022188255192310063
v002_recall_pos2_dice02,49,0.08035756794340683,0.029605314135551453,0.22620771825313568,0.02859761379659176,0.6286086966559314,0.831328427930266,0.8941621167576649,0.00022190625352561338
