variant,epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
v002_stc_t3,0,0.2349004384243127,0.17250755429267883,0.3285876214504242,0.17250755429267883,,,,
v002_stc_t3,1,0.15256061495253534,0.11257260292768478,0.20567211508750916,0.11257260292768478,,,,
v002_stc_t3,2,0.10539801335997051,0.0773303359746933,0.16762028634548187,0.0773303359746933,,,,
v002_stc_t3,3,0.07653422552076253,0.052946336567401886,0.14063318073749542,0.052946336567401886,,,,
v002_stc_t3,4,0.057602724417893575,0.04053827375173569,0.10901986807584763,0.04053827375173569,,,,
v002_stc_t3,5,0.04592984301423786,0.03165850415825844,0.11098075658082962,0.03165850415825844,,,,
v002_stc_t3,6,0.03937298569339092,0.025306927040219307,0.08751635998487473,0.025306927040219307,,,,
v002_stc_t3,7,0.03394116235501839,0.021501274779438972,0.07238081842660904,0.021501274779438972,,,,
v002_stc_t3,8,0.030607123021977118,0.01895730197429657,0.05971039831638336,0.01895730197429657,,,,
v002_stc_t3,9,0.028305207896563742,0.016256975010037422,0.07096823304891586,0.016256975010037422,,,,
v002_stc_t3,10,0.0262696212627972,0.014558697119355202,0.04953029751777649,0.014558697119355202,,,,
v002_stc_t3,11,0.02571232650767673,0.014291029423475266,0.04564801603555679,0.014291029423475266,,,,
v002_stc_t3,12,0.025246894946604065,0.014134539291262627,0.044085610657930374,0.014134539291262627,,,,
v002_stc_t3,13,0.024755162553805294,0.01401585340499878,0.04415818303823471,0.01401585340499878,,,,
v002_stc_t3,14,0.024546750360215554,0.01380258146673441,0.042238108813762665,0.01380258146673441,,,,
v002_stc_t3,15,0.02451719246767085,0.013565176166594028,0.0428030826151371,0.013565176166594028,,,,
v002_stc_t3,16,0.024026484266299792,0.013137399218976498,0.04394220560789108,0.013137399218976498,,,,
v002_stc_t3,17,0.023813876285772733,0.012963400222361088,0.042572006583213806,0.012963400222361088,,,,
v002_stc_t3,18,0.02347045631684137,0.01334416028112173,0.0414569191634655,0.012963400222361088,,,,
v002_stc_t3,19,0.02326831290253786,0.012799005024135113,0.040458086878061295,0.012799005024135113,,,,
v002_stc_t3,20,0.023123357445001602,0.012853541411459446,0.04060754179954529,0.012799005024135113,,,,
v002_stc_t3,21,0.022892992745972042,0.012265512719750404,0.0390201210975647,0.012265512719750404,,,,
v002_stc_t3,22,0.022916585451575242,0.012521108612418175,0.040750809013843536,0.012265512719750404,,,,
v002_stc_t3,23,0.022837023495348416,0.012651560828089714,0.039665039628744125,0.012265512719750404,,,,
v002_stc_t3,24,0.02289924436634538,0.012561177834868431,0.040370844304561615,0.012265512719750404,,,,
v002_stc_t3,25,0.022744840424921777,0.012507484294474125,0.03995820879936218,0.012265512719750404,,,,
v002_stc_t3,26,0.022920624606988647,0.01265069842338562,0.04024635627865791,0.012265512719750404,,,,
v002_stc_t3,27,0.0228134412976979,0.012666963040828705,0.038732632994651794,0.012265512719750404,,,,
v002_stc_t3,28,0.022692181094728335,0.012518343515694141,0.039179518818855286,0.012265512719750404,,,,
