variant,delta_iou,delta_seg_acc,delta_pd,delta_fa
v002_d_pool_retrain,0.2915510015337423,0.10873769331053651,0.07412859134817307,-0.00108920313790256
v002_recall_pos2_dice02,0.27749769665593144,0.12130142793026599,0.09785811675766487,-0.0010530937464743868
v002_stc_t3,0.26981234250921476,0.10261611666106929,0.06761872154556903,-0.0011044106786148025
v002_stc_t7,0.23047610613689834,0.09753261285989079,0.06278881814363713,-0.0011405882121502
v002_slope_0p005,0.30179305127763495,0.10012779498061253,0.0665687425451491,-0.0011662392714696227
v002_slope_0p02,0.2959478235294118,0.10003620031752825,0.060688860142797174,-0.0011904060179316845
