variant,epoch,batch,loss,lr
v002_stc_t7,0,0,0.33241593837738037,0.001
v002_stc_t7,0,1,0.3203641176223755,0.001
v002_stc_t7,0,2,0.309700071811676,0.001
v002_stc_t7,0,3,0.2946206033229828,0.001
v002_stc_t7,0,4,0.28731802105903625,0.001
v002_stc_t7,0,5,0.3217805027961731,0.001
v002_stc_t7,0,6,0.29232001304626465,0.001
v002_stc_t7,0,7,0.28959089517593384,0.001
v002_stc_t7,0,8,0.2791227400302887,0.001
v002_stc_t7,0,9,0.291428804397583,0.001
v002_stc_t7,0,10,0.29157185554504395,0.001
v002_stc_t7,0,11,0.3102303147315979,0.001
v002_stc_t7,0,12,0.2722207307815552,0.001
v002_stc_t7,0,13,0.29446646571159363,0.001
v002_stc_t7,0,14,0.27066826820373535,0.001
v002_stc_t7,0,15,0.2820877730846405,0.001
v002_stc_t7,0,16,0.26608338952064514,0.001
v002_stc_t7,0,17,0.27796027064323425,0.001
v002_stc_t7,0,18,0.2712116241455078,0.001
v002_stc_t7,0,19,0.30054613947868347,0.001
v002_stc_t7,0,20,0.26267296075820923,0.001
v002_stc_t7,0,21,0.27643725275993347,0.001
v002_stc_t7,0,22,0.256377249956131,0.001
v002_stc_t7,0,23,0.26882728934288025,0.001
v002_stc_t7,0,24,0.34804537892341614,0.001
v002_stc_t7,0,25,0.27047109603881836,0.001
v002_stc_t7,0,26,0.2645779848098755,0.001
v002_stc_t7,0,27,0.30141231417655945,0.001
v002_stc_t7,0,28,0.2665281593799591,0.001
v002_stc_t7,0,29,0.264440655708313,0.001
v002_stc_t7,0,30,0.2646002769470215,0.001
v002_stc_t7,0,31,0.2384411096572876,0.001
v002_stc_t7,0,32,0.2602902352809906,0.001
v002_stc_t7,0,33,0.25835946202278137,0.001
v002_stc_t7,0,34,0.24860528111457825,0.001
v002_stc_t7,0,35,0.23479479551315308,0.001
v002_stc_t7,0,36,0.2327069789171219,0.001
v002_stc_t7,0,37,0.22976452112197876,0.001
v002_stc_t7,0,38,0.26456978917121887,0.001
v002_stc_t7,0,39,0.24549399316310883,0.001
v002_stc_t7,0,40,0.23154014348983765,0.001
v002_stc_t7,0,41,0.25270357728004456,0.001
