group,epoch,mean_loss,min_loss,max_loss,last_loss,best_loss_so_far,val_iou
D,0,0.23467767027893452,0.16943512856960297,0.3317062556743622,0.16943512856960297,0.16943512856960297,
D,1,0.1527989354699549,0.11605250835418701,0.2221054881811142,0.11605250835418701,0.11605250835418701,
D,2,0.10637658789302364,0.08208292722702026,0.16544808447360992,0.08208292722702026,0.08208292722702026,
D,3,0.0758978518647979,0.05613198131322861,0.14554928243160248,0.056886930018663406,0.05613198131322861,
D,4,0.057190763905192864,0.04119114950299263,0.11648456752300262,0.04119114950299263,0.04119114950299263,
D,5,0.045501323887194044,0.03305115923285484,0.09381704032421112,0.09381704032421112,0.03305115923285484,
D,6,0.038499275354122876,0.025889739394187927,0.0851554125547409,0.026156188920140266,0.025889739394187927,
D,7,0.033148446016841464,0.02116987481713295,0.08718925714492798,0.03691500052809715,0.02116987481713295,
D,8,0.030884291976690292,0.017748160287737846,0.06903816014528275,0.036674465984106064,0.017748160287737846,
D,9,0.028047489435082736,0.015270965173840523,0.05147753655910492,0.015270965173840523,0.015270965173840523,
D,10,0.02571849791201377,0.014721333049237728,0.04916524514555931,0.029652923345565796,0.014721333049237728,
D,11,0.025082130558939292,0.014418072067201138,0.044931814074516296,0.03071424551308155,0.014418072067201138,
D,12,0.02463448259302161,0.01399536244571209,0.044703662395477295,0.018712088465690613,0.01399536244571209,
D,13,0.024473428904934966,0.01311067771166563,0.042767662554979324,0.03156978264451027,0.01311067771166563,
D,14,0.024141877974298866,0.013677190989255905,0.04329333081841469,0.02745520882308483,0.01311067771166563,
D,15,0.023864445822181727,0.013475054875016212,0.04397149384021759,0.02342355065047741,0.01311067771166563,
D,16,0.023546671955799212,0.01294666901230812,0.04335211217403412,0.023185735568404198,0.01294666901230812,
D,17,0.02313712988086421,0.012432163581252098,0.042430877685546875,0.021368103101849556,0.012432163581252098,
D,18,0.022879905236715622,0.01267759408801794,0.042803142219781876,0.042803142219781876,0.012432163581252098,
D,19,0.022727560261358516,0.011633099988102913,0.04264136403799057,0.02108774147927761,0.011633099988102913,
D,20,0.02236690406094898,0.011694549582898617,0.04183533042669296,0.022852571681141853,0.011633099988102913,
D,21,0.022287840644518535,0.01161249727010727,0.041915617883205414,0.024988045915961266,0.01161249727010727,
D,22,0.022281857235639385,0.011780120432376862,0.04051521047949791,0.024634772911667824,0.01161249727010727,
D,23,0.022149871338648024,0.01177523285150528,0.04246379807591438,0.01747104711830616,0.01161249727010727,
D,24,0.022338659925894302,0.011673706583678722,0.04102972894906998,0.033916179090738297,0.01161249727010727,
D,25,0.022170523096891968,0.012107226997613907,0.04097236692905426,0.01467847265303135,0.01161249727010727,
D,26,0.022195392702188756,0.011621689423918724,0.04239249601960182,0.03230854868888855,0.01161249727010727,
D,27,0.0220762062535593,0.01167373452335596,0.041111916303634644,0.02265232428908348,0.01161249727010727,
D,28,0.022154032045768365,0.011694862507283688,0.04200742766261101,0.025485415011644363,0.01161249727010727,
D,29,0.021986618647445933,0.011331639252603054,0.04098542407155037,0.02939757890999317,0.011331639252603054,
D,30,0.02202580344270576,0.011461596004664898,0.04197409003973007,0.014659124426543713,0.011331639252603054,
D,31,0.021974303232825766,0.012152265757322311,0.04069393128156662,0.02137119323015213,0.011331639252603054,
D,32,0.02205654052133211,0.01119390781968832,0.04097728803753853,0.03425556421279907,0.01119390781968832,
D,33,0.02204187981069389,0.011233887635171413,0.04096512869000435,0.016855938360095024,0.01119390781968832,
D,34,0.02209988965492959,0.011690271086990833,0.04145413637161255,0.014569063670933247,0.01119390781968832,
D,35,0.021929203175158812,0.011210559867322445,0.04165302589535713,0.037708792835474014,0.01119390781968832,
D,36,0.021935675377872856,0.011697590351104736,0.04205205291509628,0.01986733451485634,0.01119390781968832,
D,37,0.02210028110203719,0.010694353841245174,0.04266347736120224,0.020034799352288246,0.010694353841245174,
D,38,0.022054978721596376,0.011588851921260357,0.042114291340112686,0.02123814821243286,0.010694353841245174,
D,39,0.021912925754382154,0.011366656981408596,0.04115710034966469,0.01152259111404419,0.010694353841245174,
D,40,0.02203570439884759,0.01161172240972519,0.04063916951417923,0.021818364039063454,0.010694353841245174,0.3720443546772003
D,41,0.022029188536860124,0.011776321567595005,0.04237804934382439,0.019388113170862198,0.010694353841245174,0.3720817565917969
D,42,0.0219971424890588,0.011349599808454514,0.041714366525411606,0.016292067244648933,0.010694353841245174,0.37213751673698425
D,43,0.021960906938395718,0.011080869473516941,0.040891025215387344,0.018874099478125572,0.010694353841245174,0.372761994600296
D,44,0.022040039470249958,0.011245484463870525,0.04130176454782486,0.023392774164676666,0.010694353841245174,0.37282925844192505
D,45,0.021864987063136967,0.011502780951559544,0.041451338678598404,0.014042168855667114,0.010694353841245174,0.37254902720451355
D,46,0.021915202339490254,0.011174685321748257,0.04091878607869148,0.015746740624308586,0.010694353841245174,0.37311145663261414
D,47,0.021939845454662738,0.011729544028639793,0.03974337503314018,0.02772367373108864,0.010694353841245174,0.3726717531681061
D,48,0.02206314933683836,0.011117512360215187,0.040623389184474945,0.023469718173146248,0.010694353841245174,0.3715006113052368
D,49,0.022007615766440978,0.011673827655613422,0.04179425537586212,0.03537081182003021,0.010694353841245174,0.371832013130188
