epoch,batch,loss,main_loss,trajectory_projection_dice_loss,trajectory_projection_dice_weight,lr
0,0,0.6032925844192505,0.3109559118747711,0.9744554758071899,0.3,0.001
0,1,0.5884944200515747,0.30047208070755005,0.9600745439529419,0.3,0.001
0,2,0.5647974610328674,0.2704533636569977,0.9811469316482544,0.3,0.001
0,3,0.556198000907898,0.2819454073905945,0.9141753911972046,0.3,0.001
0,4,0.5288534760475159,0.2667868137359619,0.8735555410385132,0.3,0.001
0,5,0.53623366355896,0.26494380831718445,0.9042996168136597,0.3,0.001
0,6,0.5197730660438538,0.26205000281333923,0.8590768575668335,0.3,0.001
0,7,0.4607440233230591,0.26958855986595154,0.6371848583221436,0.3,0.001
0,8,0.4967685639858246,0.2544172406196594,0.807837724685669,0.3,0.001
0,9,0.5162909030914307,0.24494943022727966,0.9044716358184814,0.3,0.001
0,10,0.5131839513778687,0.2294367551803589,0.9458239078521729,0.3,0.001
0,11,0.4712805151939392,0.22826725244522095,0.8100441098213196,0.3,0.001
0,12,0.4850166440010071,0.23061597347259521,0.8480021953582764,0.3,0.001
0,13,0.47981923818588257,0.21284769475460052,0.8899051547050476,0.3,0.001
0,14,0.5404494404792786,0.24670279026031494,0.979155421257019,0.3,0.001
0,15,0.4454682469367981,0.22753247618675232,0.7264525890350342,0.3,0.001
0,16,0.5252290368080139,0.2349262684583664,0.9676758050918579,0.3,0.001
0,17,0.461320698261261,0.20169298350811005,0.8654255867004395,0.3,0.001
0,18,0.46646469831466675,0.22668321430683136,0.7992715239524841,0.3,0.001
0,19,0.4661959111690521,0.19612404704093933,0.9002395272254944,0.3,0.001
0,20,0.37397661805152893,0.19402089715003967,0.5998523831367493,0.3,0.001
0,21,0.44225817918777466,0.19011689722537994,0.8404709100723267,0.3,0.001
0,22,0.4465433955192566,0.18742746114730835,0.8637197613716125,0.3,0.001
0,23,0.47313645482063293,0.1918056309223175,0.9377694129943848,0.3,0.001
0,24,0.41276901960372925,0.19012752175331116,0.7421382665634155,0.3,0.001
0,25,0.4312658905982971,0.1798485964536667,0.8380575180053711,0.3,0.001
0,26,0.3587520718574524,0.19763542711734772,0.537055492401123,0.3,0.001
0,27,0.3958626687526703,0.17381665110588074,0.7401533722877502,0.3,0.001
0,28,0.42570433020591736,0.19128933548927307,0.7813832759857178,0.3,0.001
0,29,0.43302345275878906,0.17338916659355164,0.8654475808143616,0.3,0.001
