epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
0,0.18002713930727254,0.1129029393196106,0.34136444330215454,0.1129029393196106,,,,
1,0.09656681692359423,0.059971973299980164,0.21793146431446075,0.059971973299980164,,,,
2,0.05682465351290173,0.034751106053590775,0.15628653764724731,0.034751106053590775,,,,
3,0.03791555553448923,0.02213536761701107,0.12420953065156937,0.02213536761701107,,,,
4,0.0279268655606141,0.014794212765991688,0.11730798333883286,0.014794212765991688,,,,
5,0.02173824550000706,0.010780512355268002,0.09053336083889008,0.010780512355268002,,,,
6,0.017612825392397367,0.008690478280186653,0.06673959642648697,0.008690478280186653,,,,
7,0.014833016513912665,0.007086761761456728,0.05504661425948143,0.007086761761456728,,,,
8,0.01267765329755617,0.005724472459405661,0.04727155342698097,0.005724472459405661,,,,
9,0.011673109206098198,0.00492712901905179,0.03918124735355377,0.00492712901905179,,,,
10,0.010035219508213828,0.004379204008728266,0.03418470174074173,0.004379204008728266,,,,
11,0.009576421339215354,0.0041793459095060825,0.03243929147720337,0.0041793459095060825,,,,
12,0.009302061719048505,0.004057439509779215,0.03134157881140709,0.004057439509779215,,,,
13,0.009067539553713016,0.003955978900194168,0.030550651252269745,0.003955978900194168,,,,
14,0.008890385017495114,0.003892643144354224,0.02954138070344925,0.003892643144354224,,,,
15,0.008679191269112206,0.0038156083319336176,0.029088737443089485,0.0038156083319336176,,,,
16,0.008438649996550697,0.003697277046740055,0.02811727300286293,0.003697277046740055,,,,
17,0.008211551944377145,0.003607585560530424,0.027575941756367683,0.003607585560530424,,,,
18,0.00807262885365447,0.003496853169053793,0.02722317725419998,0.003496853169053793,,,,
19,0.007830006446726996,0.003440673928707838,0.026298092678189278,0.003440673928707838,,,,
20,0.007675660898758456,0.0033089297357946634,0.02655106782913208,0.0033089297357946634,,,,
21,0.0076106998603791,0.0033261352218687534,0.025735192000865936,0.0033089297357946634,,,,
22,0.007599280519185193,0.0033264949452131987,0.02555147185921669,0.0033089297357946634,,,,
23,0.007591015304147144,0.003310802625492215,0.026210706681013107,0.0033089297357946634,,,,
24,0.007527130613611503,0.00329963187687099,0.02541712485253811,0.00329963187687099,,,,
25,0.007494533093495652,0.0032760363537818193,0.025351479649543762,0.0032760363537818193,,,,
26,0.007450181854456061,0.0032784147188067436,0.02534055896103382,0.0032760363537818193,,,,
27,0.007477996247641817,0.0032599661499261856,0.027068203315138817,0.0032599661499261856,,,,
28,0.007421483067005422,0.003219538601115346,0.02513495273888111,0.003219538601115346,,,,
29,0.00740651734587219,0.003211710834875703,0.02515963651239872,0.003211710834875703,,,,
30,0.007362096720948966,0.0032150805927813053,0.024973012506961823,0.003211710834875703,,,,
31,0.007377820529250635,0.0032147541642189026,0.02644561044871807,0.003211710834875703,,,,
32,0.007388804874599281,0.003213791409507394,0.025273870676755905,0.003211710834875703,,,,
33,0.0073929624044044755,0.0032111043110489845,0.025474788621068,0.0032111043110489845,,,,
34,0.007363950104612594,0.0032111192122101784,0.02538241073489189,0.0032111043110489845,,,,
35,0.007366792538739515,0.0032098833471536636,0.02493591234087944,0.0032098833471536636,,,,
36,0.007358116965571588,0.00320756109431386,0.026741085574030876,0.00320756109431386,,,,
37,0.007374097473185622,0.003207263769581914,0.024920066818594933,0.003207263769581914,,,,
38,0.007338366214882093,0.0032033133320510387,0.026321444660425186,0.0032033133320510387,,,,
39,0.007358600441930872,0.003201526589691639,0.026593316346406937,0.003201526589691639,,,,
40,0.007425667160670414,0.003201669780537486,0.02700512669980526,0.003201526589691639,0.5621312488018914,0.8057735169297469,0.8229735405291894,0.0006483217843324823
41,0.007356214452290324,0.0031930129043757915,0.025554979220032692,0.0031930129043757915,0.5624880727719939,0.8099258083229017,0.8275934481310374,0.0006783339385142508
42,0.007363206706941128,0.0032012322917580605,0.025581488385796547,0.0031930129043757915,0.5639989476453565,0.8181540622233078,0.8334733305333893,0.000735164455939195
43,0.0073707048531922725,0.003201024141162634,0.026023628190159798,0.0031930129043757915,0.5621906926360952,0.8081244466155773,0.8259134817303654,0.0006658283804884616
44,0.007382615619912894,0.0032009065616875887,0.027088455855846405,0.0031930129043757915,0.5619810989805356,0.8070253106585656,0.8236035279294414,0.0006542264460584709
45,0.007346492112529549,0.0032005831599235535,0.024888012558221817,0.0031930129043757915,0.5640148305084746,0.8127957744328764,0.8290634187316254,0.0006880664090460484
46,0.007318615882817393,0.0032002192456275225,0.024886956438422203,0.0031930129043757915,0.5633582294818357,0.8129331664275028,0.8294834103317934,0.0006953250248155779
47,0.007325383900391935,0.0031999952625483274,0.025373240932822227,0.0031930129043757915,0.56302813925976,0.8137117210637194,0.8322133557328854,0.0007088882668534985
48,0.0073578122278882396,0.003199792467057705,0.024885093793272972,0.0031930129043757915,0.5626440548941659,0.812383598448997,0.8307433851322974,0.0007000564572171853
49,0.0073764782511826716,0.0031993358861654997,0.026869721710681915,0.0031930129043757915,0.5642375407836719,0.826321253014991,0.8387232255354893,0.0008144640925462252
