version,label,architecture,iou,seg_acc,pd,fa,max_events_num,input_channel,threshold,epochs,optimizer,inference_chunk_size,submission_validation_status,submission_txt_count,direction_aggregation_skipped,delta_iou_vs_v430,delta_seg_acc_vs_v430,delta_pd_vs_v430,delta_fa_vs_v430,notes
v4.3.0,Trajectory Direction Head (dir-agg skipped),"Trajectory-Aware Sparse U-Net + Dice + Direction Prediction Head, dir-agg skipped",0.745085128398081,0.846441547339175,0.8152036959260814,0.00024217408637432794,50000,8,0.9,50,Adam,50000,ok,24,true,0.0,0.0,0.0,0.0,NEW SOTA! IoU=0.745085 beats v3.1.3 (0.717086). Direction aggregation still skipped; gain from Dice + direction head auxiliary supervision.
v4.2.0,Bottleneck Direction Aggregation (skipped),"Trajectory-Aware Sparse U-Net + Dice, dir-agg skipped",0.5906226853495946,0.888620889689494,0.863922721545569,0.00018397480140427256,50000,8,0.9,50,Adam,50000,ok,24,true,-0.1544624430484864,0.04217934235031899,0.04871902561948759,-0.00005819928497005538,Previous seg_acc/PD leader. Dir-agg skipped. Lower IoU than v4.3.0.
v4.1.0,Trajectory-Aware Sparse U-Net + Dice,"Trajectory-Aware Sparse U-Net, xy mean projection Dice auxiliary loss",0.4382160859417172,0.8799041309193051,0.8538429231415372,0.0011525437507880782,50000,8,0.9,50,Adam,50000,ok,24,false,-0.30686904245636374,0.0334625835801301,0.03863922721545582,0.0009103696644137502,Highest FA in this group. Dice pushes recall at cost of FA.
v4.0.0,Trajectory-Aware Sparse U-Net,"Trajectory-Aware Sparse U-Net + MSTB + geometric gated fusion",0.4698802329228083,0.8462736237901871,0.7904241915161697,0.0005560958862550615,50000,8,0.9,50,Adam,50000,ok,24,false,-0.2752048954752727,0.00016792354898788247,-0.024779504409911724,0.00031392179988073355,First v4.0.0 architecture loop. Moderate IoU.
v3.1.3,no-patchattention EV-SpSegNet,"8-channel handcrafted feature EV-SpSegNet, PatchAttention no-op",0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,50000,8,0.9,50,Adam,,ok,24,false,-0.0279993947484707,-0.038836137147742206,-0.005459890802183864,-0.00008960983370007612,Former IoU SOTA. Low FA baseline. Now surpassed by v4.3.0.
v2.1.0,v002_slope_0p005 improvement suite,"4-channel EV-SpSegNet LeakyReLU slope 0.005",0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,20000,4,,50,Adam,,ok,24,false,-0.092181077120446,0.0362867523585625,0.047669046619067666,-0.00013341335784395055,Lowest FA overall. Strong baseline on 4-channel architecture.
