group,epoch,batch,loss,lr
D,1,61,0.1360144019126892,0.001
D,1,62,0.132416233420372,0.001
D,1,63,0.13341185450553894,0.001
D,1,64,0.1336258500814438,0.001
D,1,65,0.1400754153728485,0.001
D,1,66,0.1366964727640152,0.001
D,1,67,0.14038540422916412,0.001
D,1,68,0.1295836716890335,0.001
D,1,69,0.19381874799728394,0.001
D,1,70,0.1310487538576126,0.001
D,1,71,0.1468185931444168,0.001
D,1,72,0.13330614566802979,0.001
D,1,73,0.12637926638126373,0.001
D,1,74,0.14577937126159668,0.001
D,1,75,0.12572413682937622,0.001
D,1,76,0.13831159472465515,0.001
D,1,77,0.14707134664058685,0.001
D,1,78,0.14394940435886383,0.001
D,1,79,0.12754471600055695,0.001
D,1,80,0.12551899254322052,0.001
D,1,81,0.14514020085334778,0.001
D,1,82,0.1228010430932045,0.001
D,1,83,0.16172321140766144,0.001
D,1,84,0.1388445794582367,0.001
D,1,85,0.12175393104553223,0.001
D,1,86,0.12512342631816864,0.001
D,1,87,0.13412246108055115,0.001
D,1,88,0.11897701025009155,0.001
D,1,89,0.14516349136829376,0.001
D,1,90,0.1223449558019638,0.001
D,1,91,0.1292654573917389,0.001
D,1,92,0.11822233349084854,0.001
D,1,93,0.11899484694004059,0.001
D,1,94,0.1667882204055786,0.001
D,1,95,0.12679699063301086,0.001
D,1,96,0.12951207160949707,0.001
D,1,97,0.11763478815555573,0.001
D,1,98,0.11605250835418701,0.001
D,2,0,0.12789486348628998,0.001
D,2,1,0.14686919748783112,0.001
D,2,2,0.11165433377027512,0.001
D,2,3,0.12853166460990906,0.001
D,2,4,0.12573584914207458,0.001
D,2,5,0.11344799399375916,0.001
D,2,6,0.1145494133234024,0.001
D,2,7,0.10913527756929398,0.001
D,2,8,0.11574024707078934,0.001
D,2,9,0.12136048078536987,0.001
D,2,10,0.12288083136081696,0.001
D,2,11,0.1276649683713913,0.001
D,2,12,0.11388476192951202,0.001
D,2,13,0.10900542885065079,0.001
D,2,14,0.11139699071645737,0.001
D,2,15,0.12334410101175308,0.001
D,2,16,0.11834403872489929,0.001
D,2,17,0.14396679401397705,0.001
D,2,18,0.1232505589723587,0.001
D,2,19,0.10626374185085297,0.001
D,2,20,0.10697430372238159,0.001
D,2,21,0.1035580039024353,0.001
D,2,22,0.11745888739824295,0.001
D,2,23,0.11662658303976059,0.001
D,2,24,0.10300751775503159,0.001
D,2,25,0.10566288977861404,0.001
D,2,26,0.12670983374118805,0.001
D,2,27,0.1050083115696907,0.001
D,2,28,0.12377150356769562,0.001
D,2,29,0.1340091973543167,0.001
D,2,30,0.10533471405506134,0.001
D,2,31,0.0992983728647232,0.001
D,2,32,0.1016353890299797,0.001
D,2,33,0.11183713376522064,0.001
D,2,34,0.12236417829990387,0.001
D,2,35,0.11152616888284683,0.001
D,2,36,0.10342724621295929,0.001
D,2,37,0.10423826426267624,0.001
D,2,38,0.16544808447360992,0.001
D,2,39,0.09725762158632278,0.001
D,2,40,0.09680989384651184,0.001
D,2,41,0.09697990864515305,0.001
D,2,42,0.10537924617528915,0.001
D,2,43,0.09821350127458572,0.001
D,2,44,0.11144878715276718,0.001
D,2,45,0.09907595813274384,0.001
D,2,46,0.10157867521047592,0.001
D,2,47,0.09624389559030533,0.001
D,2,48,0.09477335214614868,0.001
D,2,49,0.0954645425081253,0.001
