step,epoch,loss
399,2,0.117
400,2,0.117
401,2,0.137
402,2,0.137
403,2,0.116
404,2,0.116
405,2,0.124
406,2,0.124
407,2,0.121
408,2,0.121
409,2,0.124
410,2,0.124
411,2,0.113
412,2,0.113
413,2,0.123
414,2,0.123
415,2,0.122
416,2,0.122
417,2,0.121
418,2,0.121
419,2,0.121
420,2,0.121
421,2,0.105
422,2,0.105
423,2,0.111
424,2,0.111
425,2,0.114
426,2,0.114
427,2,0.11
428,2,0.11
429,2,0.107
430,2,0.107
431,2,0.117
432,2,0.117
433,2,0.142
434,2,0.142
435,2,0.114
436,2,0.114
437,2,0.106
438,2,0.106
439,2,0.162
440,2,0.162
441,2,0.101
442,2,0.101
443,2,0.106
444,2,0.106
445,2,0.11
446,2,0.11
447,2,0.107
448,2,0.107
449,2,0.104
450,2,0.104
451,2,0.102
452,2,0.102
453,2,0.103
454,2,0.103
455,2,0.104
456,2,0.104
457,2,0.103
458,2,0.103
459,2,0.104
460,2,0.104
461,2,0.0989
462,2,0.0989
463,2,0.1
464,2,0.1
465,2,0.102
466,2,0.102
467,2,0.118
468,2,0.118
469,2,0.114
470,2,0.114
471,2,0.102
472,2,0.102
473,2,0.0985
474,2,0.0985
475,2,0.141
476,2,0.141
477,2,0.112
478,2,0.112
479,2,0.0965
480,2,0.0965
481,2,0.111
482,2,0.111
483,2,0.0944
484,2,0.0944
485,2,0.0976
486,2,0.0976
487,2,0.104
488,2,0.104
489,2,0.0931
490,2,0.0931
491,2,0.0933
492,2,0.0933
493,2,0.111
494,2,0.111
495,2,0.094
496,2,0.094
497,2,0.0998
498,2,0.0998
499,2,0.118
500,2,0.118
501,2,0.113
502,2,0.113
503,2,0.12
504,2,0.12
505,2,0.142
506,2,0.142
507,2,0.0925
508,2,0.0925
509,2,0.0894
510,2,0.0894
511,2,0.0892
512,2,0.0892
513,2,0.0893
514,2,0.0893
515,2,0.0873
516,2,0.0873
517,2,0.0881
518,2,0.0881
519,2,0.0883
520,2,0.0883
521,2,0.109
522,2,0.109
523,2,0.121
524,2,0.121
525,2,0.0861
526,2,0.0861
527,2,0.0954
528,2,0.0954
529,2,0.0841
530,2,0.0841
531,2,0.0882
532,2,0.0882
533,2,0.0907
534,2,0.0907
535,2,0.105
536,2,0.105
537,2,0.0991
538,2,0.0991
539,2,0.0999
540,2,0.0999
541,2,0.0849
542,2,0.0849
543,2,0.0876
544,2,0.0876
545,2,0.0819
546,2,0.0819
547,2,0.0888
548,2,0.0888
549,2,0.0899
550,2,0.0899
551,2,0.0859
552,2,0.0859
553,2,0.0848
554,2,0.0848
555,2,0.131
556,2,0.131
557,2,0.11
558,2,0.11
559,2,0.085
560,2,0.085
561,2,0.0799
562,2,0.0799
563,2,0.103
564,2,0.103
565,2,0.094
566,2,0.094
567,2,0.0917
568,2,0.0917
569,2,0.102
570,2,0.102
571,2,0.163
572,2,0.163
573,2,0.0933
574,2,0.0933
575,2,0.118
576,2,0.118
577,2,0.098
578,2,0.098
579,2,0.0831
580,2,0.0831
581,2,0.0886
582,2,0.0886
583,2,0.0891
584,2,0.0891
585,2,0.0949
586,2,0.0949
587,2,0.083
588,2,0.083
589,2,0.0757
590,2,0.0757
591,2,0.0895
592,2,0.0895
593,2,0.0853
594,2,0.0853
595,2,0.094
596,2,0.094
597,2,0.094
598,3,0.0744
599,3,0.0744
600,3,0.0903
601,3,0.0903
602,3,0.11
603,3,0.11
604,3,0.0808
605,3,0.0808
606,3,0.0866
607,3,0.0866
608,3,0.0863
609,3,0.0863
610,3,0.0758
611,3,0.0758
612,3,0.0792
613,3,0.0792
614,3,0.0753
615,3,0.0753
616,3,0.089
617,3,0.089
618,3,0.0798
619,3,0.0798
620,3,0.0965
621,3,0.0965
622,3,0.085
623,3,0.085
624,3,0.0853
625,3,0.0853
626,3,0.0748
627,3,0.0748
628,3,0.0701
629,3,0.0701
630,3,0.0755
631,3,0.0755
632,3,0.152
633,3,0.152
634,3,0.0846
635,3,0.0846
636,3,0.0685
637,3,0.0685
638,3,0.0797
639,3,0.0797
640,3,0.0786
641,3,0.0786
642,3,0.081
643,3,0.081
644,3,0.0802
645,3,0.0802
646,3,0.106
647,3,0.106
648,3,0.0674
649,3,0.0674
650,3,0.0721
651,3,0.0721
652,3,0.0853
653,3,0.0853
654,3,0.0853
655,3,0.0853
656,3,0.0728
657,3,0.0728
658,3,0.079
659,3,0.079
660,3,0.1
661,3,0.1
662,3,0.0843
663,3,0.0843
664,3,0.0698
665,3,0.0698
666,3,0.0683
667,3,0.0683
668,3,0.0893
669,3,0.0893
670,3,0.0778
671,3,0.0778
672,3,0.0669
673,3,0.0669
674,3,0.0749
675,3,0.0749
676,3,0.0734
677,3,0.0734
678,3,0.0776
679,3,0.0776
680,3,0.0637
681,3,0.0637
682,3,0.0666
683,3,0.0666
684,3,0.0734
685,3,0.0734
686,3,0.13
687,3,0.13
688,3,0.0809
689,3,0.0809
690,3,0.0671
691,3,0.0671
692,3,0.071
693,3,0.071
694,3,0.067
695,3,0.067
696,3,0.0623
697,3,0.0623
698,3,0.0771
699,3,0.0771
700,3,0.0659
701,3,0.0659
702,3,0.0786
703,3,0.0786
704,3,0.0653
705,3,0.0653
706,3,0.0628
707,3,0.0628
708,3,0.0965
709,3,0.0965
710,3,0.0671
711,3,0.0671
712,3,0.0614
713,3,0.0614
714,3,0.07
715,3,0.07
716,3,0.073
717,3,0.073
718,3,0.073
719,3,0.073
720,3,0.0625
721,3,0.0625
722,3,0.0647
723,3,0.0647
724,3,0.0939
725,3,0.0939
726,3,0.0607
727,3,0.0607
728,3,0.0593
729,3,0.0593
730,3,0.0771
731,3,0.0771
732,3,0.0849
733,3,0.0849
734,3,0.0623
735,3,0.0623
736,3,0.0735
737,3,0.0735
738,3,0.062
739,3,0.062
740,3,0.0703
741,3,0.0703
742,3,0.0595
743,3,0.0595
744,3,0.094
745,3,0.094
746,3,0.0772
747,3,0.0772
748,3,0.0656
749,3,0.0656
750,3,0.0656
751,3,0.0656
752,3,0.0595
753,3,0.0595
754,3,0.0583
755,3,0.0583
756,3,0.0679
757,3,0.0679
758,3,0.0576
759,3,0.0576
760,3,0.0606
761,3,0.0606
762,3,0.0593
763,3,0.0593
764,3,0.0733
765,3,0.0733
766,3,0.0572
767,3,0.0572
768,3,0.0887
769,3,0.0887
770,3,0.0606
771,3,0.0606
772,3,0.066
773,3,0.066
774,3,0.0569
775,3,0.0569
776,3,0.0755
777,3,0.0755
778,3,0.0528
779,3,0.0528
780,3,0.0585
781,3,0.0585
782,3,0.0752
783,3,0.0752
784,3,0.0582
785,3,0.0582
786,3,0.0586
787,3,0.0586
788,3,0.0595
789,3,0.0595
790,3,0.0551
791,3,0.0551
792,3,0.0663
793,3,0.0663
794,3,0.109
795,3,0.109
796,3,0.109
797,4,0.0564
798,4,0.0564
799,4,0.0783
800,4,0.0783
801,4,0.0535
802,4,0.0535
803,4,0.0594
804,4,0.0594
805,4,0.0604
806,4,0.0604
807,4,0.052
808,4,0.052
809,4,0.0602
810,4,0.0602
811,4,0.118
812,4,0.118
813,4,0.0646
814,4,0.0646
815,4,0.0542
816,4,0.0542
817,4,0.0517
818,4,0.0517
819,4,0.0533
820,4,0.0533
821,4,0.0861
822,4,0.0861
823,4,0.0598
824,4,0.0598
825,4,0.0637
826,4,0.0637
827,4,0.0613
828,4,0.0613
829,4,0.0516
830,4,0.0516
831,4,0.065
832,4,0.065
833,4,0.0522
834,4,0.0522
835,4,0.0611
836,4,0.0611
837,4,0.0495
838,4,0.0495
839,4,0.0713
840,4,0.0713
841,4,0.0575
842,4,0.0575
843,4,0.057
844,4,0.057
845,4,0.0597
846,4,0.0597
847,4,0.0668
848,4,0.0668
849,4,0.0575
850,4,0.0575
851,4,0.0696
852,4,0.0696
853,4,0.0642
854,4,0.0642
855,4,0.0947
856,4,0.0947
857,4,0.0493
858,4,0.0493
859,4,0.0595
860,4,0.0595
861,4,0.0771
862,4,0.0771
863,4,0.0636
864,4,0.0636
865,4,0.0527
866,4,0.0527
867,4,0.0583
868,4,0.0583
869,4,0.0907
870,4,0.0907
871,4,0.0485
872,4,0.0485
873,4,0.0543
874,4,0.0543
875,4,0.0669
876,4,0.0669
877,4,0.0571
878,4,0.0571
879,4,0.0474
880,4,0.0474
881,4,0.047
882,4,0.047
883,4,0.0552
884,4,0.0552
885,4,0.0655
886,4,0.0655
887,4,0.0491
888,4,0.0491
889,4,0.0978
890,4,0.0978
891,4,0.0586
892,4,0.0586
893,4,0.048
894,4,0.048
895,4,0.0522
896,4,0.0522
897,4,0.0499
898,4,0.0499
899,4,0.0443
900,4,0.0443
901,4,0.0696
902,4,0.0696
903,4,0.0612
904,4,0.0612
905,4,0.044
906,4,0.044
907,4,0.066
908,4,0.066
909,4,0.0585
910,4,0.0585
911,4,0.0507
912,4,0.0507
913,4,0.0549
914,4,0.0549
915,4,0.0465
916,4,0.0465
917,4,0.0518
918,4,0.0518
919,4,0.044
920,4,0.044
921,4,0.0456
922,4,0.0456
923,4,0.0489
924,4,0.0489
925,4,0.0668
926,4,0.0668
927,4,0.0424
928,4,0.0424
929,4,0.0555
930,4,0.0555
931,4,0.057
932,4,0.057
933,4,0.0552
934,4,0.0552
935,4,0.0561
936,4,0.0561
937,4,0.0441
938,4,0.0441
939,4,0.0491
940,4,0.0491
941,4,0.0815
942,4,0.0815
943,4,0.0716
944,4,0.0716
945,4,0.0447
946,4,0.0447
947,4,0.0474
948,4,0.0474
949,4,0.0529
950,4,0.0529
951,4,0.0475
952,4,0.0475
953,4,0.0449
954,4,0.0449
955,4,0.0712
956,4,0.0712
957,4,0.0451
958,4,0.0451
959,4,0.0683
960,4,0.0683
961,4,0.0497
962,4,0.0497
963,4,0.0424
964,4,0.0424
965,4,0.0501
966,4,0.0501
967,4,0.05
968,4,0.05
969,4,0.0444
970,4,0.0444
971,4,0.0816
972,4,0.0816
973,4,0.0602
974,4,0.0602
975,4,0.0427
976,4,0.0427
977,4,0.0431
978,4,0.0431
979,4,0.0452
980,4,0.0452
981,4,0.0425
982,4,0.0425
983,4,0.0476
984,4,0.0476
985,4,0.0418
986,4,0.0418
987,4,0.0418
988,4,0.0418
989,4,0.0474
990,4,0.0474
991,4,0.0389
992,4,0.0389
993,4,0.0598
994,4,0.0598
995,4,0.0598
996,5,0.0372
997,5,0.0372
998,5,0.0462
999,5,0.0462
1000,5,0.064
1001,5,0.064
1002,5,0.0514
1003,5,0.0514
1004,5,0.0463
1005,5,0.0463
1006,5,0.0435
1007,5,0.0435
1008,5,0.0528
1009,5,0.0528
1010,5,0.0489
1011,5,0.0489
1012,5,0.0453
1013,5,0.0453
1014,5,0.0381
1015,5,0.0381
1016,5,0.0566
1017,5,0.0566
1018,5,0.0436
1019,5,0.0436
1020,5,0.0605
