epoch,mean_loss,min_loss,max_loss,observations
0,0.2344773869346734,0.174,0.336,199
1,0.151572864321608,0.113,0.229,199
2,0.10402613065326634,0.0757,0.163,199
3,0.07522010050251256,0.0528,0.152,199
4,0.05734371859296482,0.0389,0.118,199
5,0.046279396984924615,0.031,0.106,199
6,0.040329648241205995,0.0269,0.121,199
7,0.03447236180904523,0.0212,0.0806,199
8,0.03209246231155776,0.0181,0.0848,199
9,0.029170351758793994,0.0151,0.065,199
10,0.026587437185929652,0.0151,0.0516,199
11,0.026052261306532647,0.014,0.0494,199
12,0.025592462311557776,0.0133,0.0481,199
13,0.025355778894472356,0.0131,0.0478,199
14,0.02503718592964824,0.0134,0.0454,199
15,0.024816080402010048,0.0127,0.0431,199
16,0.024526130653266337,0.0124,0.0426,199
17,0.02422613065326632,0.0125,0.0442,199
18,0.024225125628140713,0.0126,0.0423,199
19,0.023779899497487437,0.0117,0.0433,199
20,0.023395979899497484,0.012,0.0405,199
21,0.02328994974874372,0.0115,0.0404,199
22,0.023466834170854267,0.0112,0.0413,199
23,0.023408040201005034,0.0125,0.0402,199
24,0.023352763819095484,0.0115,0.0404,199
25,0.023458291457286423,0.0122,0.0421,199
26,0.02341959798994976,0.0116,0.04,199
27,0.023239195979899516,0.0114,0.0422,199
28,0.02321658291457289,0.0116,0.04,199
29,0.02322814070351758,0.0113,0.0405,199
30,0.023295979899497467,0.0115,0.0398,199
31,0.023269849246231183,0.0112,0.0409,199
32,0.02321256281407034,0.0109,0.0398,199
33,0.023218592964824106,0.0114,0.0415,199
34,0.023110050251256294,0.0115,0.0411,199
35,0.02334371859296482,0.0121,0.0417,199
36,0.023067336683417056,0.0112,0.0398,199
37,0.02310301507537688,0.0106,0.0398,199
38,0.02304522613065328,0.0116,0.0403,199
39,0.023207035175879423,0.0112,0.0407,199
40,0.02297638190954775,0.0116,0.0404,199
41,0.02313216080402011,0.0114,0.0399,199
42,0.023108040201005032,0.0116,0.0405,199
43,0.023169849246231167,0.0112,0.0406,199
44,0.02327738693467337,0.0114,0.0405,199
45,0.023205527638190965,0.0115,0.0415,199
46,0.023021608040201005,0.0114,0.0404,199
47,0.02315979899497486,0.0108,0.0411,199
48,0.023106532663316588,0.0108,0.0398,199
49,0.023061306532663358,0.0115,0.0398,199
