epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
0,0.5175074405140347,0.31319430470466614,0.7332804799079895,0.31319430470466614,,,,
1,0.34728272093666923,0.17160972952842712,0.5316124558448792,0.17160972952842712,,,,
2,0.2510734463129381,0.10800979286432266,0.44667381048202515,0.10800979286432266,,,,
3,0.1937042534200832,0.07789742946624756,0.3958480656147003,0.07789742946624756,,,,
4,0.16421824550688868,0.06198711693286896,0.38364097476005554,0.06198711693286896,,,,
5,0.14837342380273222,0.06566028296947479,0.35407519340515137,0.06198711693286896,,,,
6,0.13840981983024664,0.05290259048342705,0.3848996162414551,0.05290259048342705,,,,
7,0.133534001656855,0.05721946805715561,0.32037362456321716,0.05290259048342705,,,,
8,0.1263900018776908,0.052071187645196915,0.3254756033420563,0.052071187645196915,,,,
9,0.12290442975783589,0.048714473843574524,0.33737149834632874,0.048714473843574524,,,,
10,0.11373233099025909,0.04620855674147606,0.30305036902427673,0.04620855674147606,,,,
11,0.10952747895410567,0.04202696681022644,0.3012237548828125,0.04202696681022644,,,,
12,0.10825633814539572,0.03879489004611969,0.3016538619995117,0.03879489004611969,,,,
13,0.1059140432814155,0.0360911525785923,0.3046950697898865,0.0360911525785923,,,,
14,0.10394038015393296,0.035000406205654144,0.30676230788230896,0.035000406205654144,,,,
15,0.10315182951815201,0.035973984748125076,0.3049725294113159,0.035000406205654144,,,,
16,0.10203674364120069,0.03644593060016632,0.2952522039413452,0.035000406205654144,,,,
17,0.100745578719811,0.03735962137579918,0.3035000264644623,0.035000406205654144,,,,
18,0.09944150570516634,0.032687701284885406,0.29841023683547974,0.032687701284885406,,,,
19,0.09763355914390448,0.03396669402718544,0.29226604104042053,0.032687701284885406,,,,
20,0.09596865405940046,0.035171978175640106,0.2949143648147583,0.032687701284885406,,,,
21,0.0955786859673081,0.032140690833330154,0.3044148087501526,0.032140690833330154,,,,
22,0.09627334762251738,0.03143717348575592,0.30266040563583374,0.03143717348575592,,,,
23,0.09562133564943015,0.031906671822071075,0.31010377407073975,0.03143717348575592,,,,
24,0.09474462564244415,0.031478047370910645,0.30583256483078003,0.03143717348575592,,,,
25,0.09430154811854315,0.033837929368019104,0.2967061996459961,0.03143717348575592,,,,
26,0.09352487536391826,0.037401631474494934,0.29657065868377686,0.03143717348575592,,,,
27,0.09548405309518178,0.03266280144453049,0.2815887928009033,0.03143717348575592,,,,
28,0.09529105905029508,0.03484869748353958,0.2831887900829315,0.03143717348575592,,,,
29,0.0944609839958374,0.030784711241722107,0.28902703523635864,0.030784711241722107,,,,
30,0.09509669278155673,0.031647369265556335,0.2898554503917694,0.030784711241722107,,,,
31,0.09504787003000577,0.02850545197725296,0.30644673109054565,0.02850545197725296,,,,
32,0.09587994041015403,0.033784255385398865,0.29325464367866516,0.02850545197725296,,,,
33,0.09271449336048329,0.030355263501405716,0.27346694469451904,0.02850545197725296,,,,
34,0.09370149423678716,0.03401444852352142,0.3472381830215454,0.02850545197725296,,,,
35,0.0941393497879758,0.029916850849986076,0.3229593336582184,0.02850545197725296,,,,
36,0.09312963374711648,0.030425677075982094,0.27537718415260315,0.02850545197725296,,,,
37,0.09513489375210772,0.0314018614590168,0.2887531518936157,0.02850545197725296,,,,
38,0.09348301751294522,0.03241359815001488,0.30095961689949036,0.02850545197725296,,,,
39,0.09530864302257094,0.031163044273853302,0.3066612482070923,0.02850545197725296,,,,
40,0.0939777111916831,0.03160807490348816,0.2940976023674011,0.02850545197725296,0.6863479588374986,0.7412298110096786,0.7301553968920622,9.323914158484084e-05
41,0.09352122074124788,0.0327414870262146,0.26711249351501465,0.02850545197725296,0.687099738460451,0.7419473025371721,0.7307853842923141,9.320655188138581e-05
42,0.09409977047882899,0.032383158802986145,0.28741851449012756,0.02850545197725296,0.6906696434879679,0.7461606570390499,0.7330953380932381,9.392945075802466e-05
43,0.093995403272636,0.028863389045000076,0.30255353450775146,0.02850545197725296,0.6952777581703959,0.7518395261502763,0.7381352372952541,9.584928056155733e-05
44,0.09459020560513241,0.028392529115080833,0.2937120199203491,0.028392529115080833,0.6879009693920809,0.743138033157268,0.7288954220915582,9.347319490965423e-05
45,0.09349078259835339,0.03149009123444557,0.2866138815879822,0.028392529115080833,0.6906628250215386,0.7465117699142063,0.7335153296934062,9.480344735068228e-05
46,0.09484747558305359,0.03120037354528904,0.29904791712760925,0.028392529115080833,0.6911887242786731,0.747122401001435,0.7345653086938261,9.491010456198964e-05
47,0.09301184757490351,0.033991459757089615,0.29215362668037415,0.028392529115080833,0.669234145581718,0.7215522242237352,0.7146157076858463,8.877731491181582e-05
48,0.09422415457289628,0.029002021998167038,0.2886956036090851,0.028392529115080833,0.6663691614603255,0.7180563612493512,0.7127257454850903,8.731670365696766e-05
49,0.09342464390728208,0.03307769447565079,0.2973831295967102,0.028392529115080833,0.6720315950399185,0.724742771654505,0.7167156656866863,8.903210713882788e-05
