epoch,batch,loss,lr
0,0,0.27833035588264465,0.001
0,1,0.2980090081691742,0.001
0,2,0.30337849259376526,0.001
0,3,0.2418137639760971,0.001
0,4,0.24448810517787933,0.001
0,5,0.2544865012168884,0.001
0,6,0.28848448395729065,0.001
0,7,0.2636444568634033,0.001
0,8,0.2256641536951065,0.001
0,9,0.21540561318397522,0.001
0,10,0.2256460189819336,0.001
0,11,0.2148006558418274,0.001
0,12,0.21619555354118347,0.001
0,13,0.24897055327892303,0.001
0,14,0.2353232502937317,0.001
0,15,0.20501792430877686,0.001
0,16,0.20429375767707825,0.001
0,17,0.2380099892616272,0.001
0,18,0.21286073327064514,0.001
0,19,0.2265058308839798,0.001
0,20,0.19890183210372925,0.001
0,21,0.2008122354745865,0.001
0,22,0.19485944509506226,0.001
0,23,0.19935627281665802,0.001
0,24,0.18469461798667908,0.001
0,25,0.23468171060085297,0.001
0,26,0.2303091585636139,0.001
0,27,0.18685783445835114,0.001
0,28,0.18988509476184845,0.001
0,29,0.2176215648651123,0.001
0,30,0.3367101550102234,0.001
0,31,0.18101878464221954,0.001
0,32,0.1888386309146881,0.001
0,33,0.17755736410617828,0.001
0,34,0.17116880416870117,0.001
0,35,0.16990256309509277,0.001
0,36,0.18776237964630127,0.001
0,37,0.21220353245735168,0.001
0,38,0.20287637412548065,0.001
0,39,0.18011786043643951,0.001
0,40,0.17304600775241852,0.001
0,41,0.1660769283771515,0.001
0,42,0.17511829733848572,0.001
0,43,0.20177586376667023,0.001
0,44,0.15951955318450928,0.001
0,45,0.15834525227546692,0.001
0,46,0.1997450441122055,0.001
0,47,0.15847180783748627,0.001
0,48,0.21455006301403046,0.001
0,49,0.19660204648971558,0.001
0,50,0.15366828441619873,0.001
0,51,0.15960408747196198,0.001
0,52,0.205034077167511,0.001
0,53,0.15040908753871918,0.001
0,54,0.15771536529064178,0.001
0,55,0.14727218449115753,0.001
0,56,0.15535123646259308,0.001
0,57,0.158474862575531,0.001
0,58,0.16670916974544525,0.001
0,59,0.15887722373008728,0.001
0,60,0.1486147791147232,0.001
0,61,0.1477891057729721,0.001
0,62,0.16226771473884583,0.001
0,63,0.1690514087677002,0.001
0,64,0.20366382598876953,0.001
0,65,0.1431230753660202,0.001
0,66,0.14206929504871368,0.001
0,67,0.1460549384355545,0.001
0,68,0.15234865248203278,0.001
0,69,0.13459627330303192,0.001
0,70,0.13979177176952362,0.001
0,71,0.13464803993701935,0.001
0,72,0.1374811828136444,0.001
0,73,0.13101820647716522,0.001
0,74,0.15592728555202484,0.001
0,75,0.14803768694400787,0.001
0,76,0.12797926366329193,0.001
0,77,0.13071486353874207,0.001
0,78,0.12579742074012756,0.001
0,79,0.14979517459869385,0.001
0,80,0.14251583814620972,0.001
0,81,0.1656188815832138,0.001
0,82,0.12363044917583466,0.001
0,83,0.12928664684295654,0.001
0,84,0.15598882734775543,0.001
0,85,0.12020881474018097,0.001
0,86,0.12304283678531647,0.001
0,87,0.12182846665382385,0.001
0,88,0.14062415063381195,0.001
0,89,0.1928907334804535,0.001
0,90,0.12158505618572235,0.001
0,91,0.1151093915104866,0.001
0,92,0.1230093464255333,0.001
0,93,0.13134132325649261,0.001
0,94,0.11255253851413727,0.001
0,95,0.1513890027999878,0.001
0,96,0.1221671923995018,0.001
0,97,0.12675155699253082,0.001
0,98,0.14275555312633514,0.001
1,0,0.13868801295757294,0.001
1,1,0.11385192722082138,0.001
1,2,0.10872827470302582,0.001
1,3,0.11758975684642792,0.001
1,4,0.11071601510047913,0.001
1,5,0.10693753510713577,0.001
1,6,0.10990732908248901,0.001
1,7,0.1439426988363266,0.001
1,8,0.1332525908946991,0.001
1,9,0.15533722937107086,0.001
1,10,0.13761933147907257,0.001
1,11,0.1063501313328743,0.001
1,12,0.10541775822639465,0.001
1,13,0.10057754814624786,0.001
1,14,0.10421346873044968,0.001
1,15,0.09972566366195679,0.001
1,16,0.0981653556227684,0.001
1,17,0.10188638418912888,0.001
1,18,0.09923769533634186,0.001
1,19,0.14247246086597443,0.001
1,20,0.10764151811599731,0.001
1,21,0.10827860981225967,0.001
1,22,0.09901493042707443,0.001
1,23,0.11188504844903946,0.001
1,24,0.09595292061567307,0.001
1,25,0.12259045243263245,0.001
1,26,0.1020037829875946,0.001
1,27,0.09872371703386307,0.001
1,28,0.12103065103292465,0.001
1,29,0.09185341000556946,0.001
1,30,0.10021746903657913,0.001
1,31,0.15380586683750153,0.001
1,32,0.09286615997552872,0.001
1,33,0.09074190258979797,0.001
1,34,0.12105078995227814,0.001
1,35,0.11146526783704758,0.001
1,36,0.09966441243886948,0.001
1,37,0.08849402517080307,0.001
1,38,0.09403097629547119,0.001
1,39,0.08543042093515396,0.001
1,40,0.08414006978273392,0.001
1,41,0.10463126748800278,0.001
1,42,0.0924348384141922,0.001
1,43,0.08325004577636719,0.001
1,44,0.08292973041534424,0.001
1,45,0.10338617116212845,0.001
1,46,0.08067988604307175,0.001
1,47,0.09501490741968155,0.001
1,48,0.0912889614701271,0.001
1,49,0.08210781961679459,0.001
1,50,0.091221384704113,0.001
1,51,0.07722049206495285,0.001
1,52,0.10923551768064499,0.001
1,53,0.07684895396232605,0.001
1,54,0.08225245028734207,0.001
1,55,0.08554639667272568,0.001
1,56,0.07989439368247986,0.001
1,57,0.09824146330356598,0.001
1,58,0.09101977199316025,0.001
1,59,0.14615215361118317,0.001
1,60,0.08246657997369766,0.001
1,61,0.07743663340806961,0.001
1,62,0.0736595094203949,0.001
1,63,0.12264184653759003,0.001
1,64,0.08031830936670303,0.001
1,65,0.11779091507196426,0.001
1,66,0.07452094554901123,0.001
1,67,0.08865652233362198,0.001
1,68,0.2077121138572693,0.001
1,69,0.07490932196378708,0.001
1,70,0.07352622598409653,0.001
1,71,0.08205770701169968,0.001
1,72,0.08796419948339462,0.001
1,73,0.06954460591077805,0.001
1,74,0.0699504017829895,0.001
