threshold,iou,seg_acc,pd,fa,tp,fp,fn,gt_positive,pred_positive,total_events,version,seed,max_events_num,input_channel
0.7,0.4258293468637706,0.8737672884926572,0.8855522889542209,0.0029578207466763244,57237,68907,8269,65506,126144,1424330,v3.1.2,316,100000,8
0.75,0.4280606676451771,0.8681647482673343,0.8798824023519529,0.0027450840506228306,56870,67349,8636,65506,124219,1424330,v3.1.2,316,100000,8
0.8,0.42958868600617545,0.8601807468018197,0.8698026039479211,0.0025289402492081293,56347,65659,9159,65506,122006,1424330,v3.1.2,316,100000,8
0.85,0.4294756716602699,0.8472811650841144,0.8578328433431331,0.002324081373289811,55502,63726,10004,65506,119228,1424330,v3.1.2,316,100000,8
0.9,0.42504317380710177,0.8228406558177876,0.8353632927341453,0.0020474392314613174,53901,61307,11605,65506,115208,1424330,v3.1.2,316,100000,8
0.95,0.4025565563299429,0.7600677800506824,0.7927341453170936,0.001741303408006022,49789,58176,15717,65506,107965,1424330,v3.1.2,316,100000,8
