version,label,architecture,iou,seg_acc,pd,fa,max_events_num,input_channel,threshold,epochs,optimizer,submission_validation_status,submission_txt_count,delta_iou_vs_v410,delta_seg_acc_vs_v410,delta_pd_vs_v410,delta_fa_vs_v410,notes
v4.1.0,Trajectory-Aware Sparse U-Net + Dice,"Trajectory-Aware Sparse U-Net, xy mean projection Dice auxiliary loss",0.4382160859417172,0.8799041309193051,0.8538429231415372,0.0011525437507880782,50000,8,0.9,50,Adam,ok,24,0.0,0.0,0.0,0.0,Dice auxiliary pushes high recall/seg_acc; highest FA among this group.
v4.0.0,Trajectory-Aware Sparse U-Net,Trajectory-Aware Sparse U-Net + MSTB + geometric gated fusion,0.4698802329228083,0.8462736237901871,0.7904241915161697,0.0005560958862550615,50000,8,0.9,50,Adam,ok,24,0.031664146981091105,-0.033630507129118004,-0.06341873162536753,-0.00059644786453301665,First architecture loop with MSTB; moderate IoU/low FA.
v3.1.3,no-patchattention EV-SpSegNet,"8-channel handcrafted feature EV-SpSegNet, PatchAttention no-op",0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,50000,8,0.9,50,Adam,ok,24,0.27886964770789307,-0.07229872072787233,-0.04409911801763972,-0.0009999794981138263,Highest IoU and strong low-FA baseline.
v2.1.0,v002_slope_0p005 improvement suite,4-channel EV-SpSegNet LeakyReLU slope 0.005,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,20000,4,,50,Adam,ok,24,0.21468796533591783,-0.0697493359386926,0.009029819403611884,-0.0010437830222577007,Lowest FA and highest PD among this comparison group.
