metric,v3.1.0,v3.1.3_no_patchattention,delta_v313_minus_v310,relative_delta,direction,v3.1.3_better
iou,0.5465782122905027,0.7170857336496103,0.17050752135910752,0.311954478837667,higher_is_better,True
seg_acc,0.8363966659542638,0.8076054101914328,-0.028791255762830925,-0.034422968114037535,higher_is_better,False
pd,0.8481730365392692,0.8097438051238975,-0.03842923141537169,-0.04530824461500371,higher_is_better,False
fa,0.0008104644471221989,0.0001525642526742518,-0.000657900194447947,-0.8117570077059175,lower_is_better,True
