version,label,threshold,iou,seg_acc,pd,fa
v2.1.0,v002_slope_0p005,n/a,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739
v3.1.0,8ch max50000 Adam PA,0.9,0.5465782122905027,0.8363966659542638,0.8481730365392692,0.0008104644471221989
v3.3.0,8ch AdamW max50000,0.9,0.5642375407836719,0.826321253014991,0.8387232255354893,0.0008144640925462252
v3.3.1,8ch AdamW max60000,0.9,0.42927709698869576,0.8278325649558819,0.8383032339353212,0.0012971264888161618
v3.1.2,8ch max100000 t0.8,0.8,0.42958868600617545,0.8601807468018197,0.8698026039479211,0.0025289402492081293
v3.1.3,no_patchattention,0.9,0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518
