epoch,batch,loss,lr
0,0,0.27833035588264465,0.001
0,1,0.2950136959552765,0.001
0,2,0.3032599091529846,0.001
0,3,0.23595677316188812,0.001
0,4,0.24465282261371613,0.001
0,5,0.25356677174568176,0.001
0,6,0.28852254152297974,0.001
0,7,0.26256322860717773,0.001
0,8,0.2250022143125534,0.001
0,9,0.21579675376415253,0.001
0,10,0.22562594711780548,0.001
0,11,0.21457785367965698,0.001
0,12,0.21586769819259644,0.001
0,13,0.24906860291957855,0.001
0,14,0.23528845608234406,0.001
0,15,0.20561985671520233,0.001
0,16,0.2037154585123062,0.001
0,17,0.23768800497055054,0.001
0,18,0.2124747931957245,0.001
0,19,0.22690780460834503,0.001
0,20,0.19860601425170898,0.001
0,21,0.20074628293514252,0.001
0,22,0.19518065452575684,0.001
0,23,0.1988668292760849,0.001
0,24,0.1844010055065155,0.001
0,25,0.23583409190177917,0.001
0,26,0.23039068281650543,0.001
0,27,0.18682657182216644,0.001
0,28,0.18981382250785828,0.001
0,29,0.2182074338197708,0.001
0,30,0.3410862982273102,0.001
0,31,0.1809452921152115,0.001
0,32,0.18912845849990845,0.001
0,33,0.17708316445350647,0.001
0,34,0.17095604538917542,0.001
0,35,0.16977427899837494,0.001
0,36,0.1875818371772766,0.001
0,37,0.21219690144062042,0.001
0,38,0.20292963087558746,0.001
0,39,0.18037113547325134,0.001
0,40,0.17595015466213226,0.001
0,41,0.1660979837179184,0.001
0,42,0.17693333327770233,0.001
0,43,0.2023564726114273,0.001
0,44,0.1593114733695984,0.001
0,45,0.15836992859840393,0.001
0,46,0.1999536156654358,0.001
0,47,0.1584979146718979,0.001
0,48,0.21486134827136993,0.001
0,49,0.1972111463546753,0.001
0,50,0.15374408662319183,0.001
0,51,0.15994906425476074,0.001
0,52,0.20564371347427368,0.001
0,53,0.1502155363559723,0.001
0,54,0.15816283226013184,0.001
0,55,0.14733348786830902,0.001
0,56,0.15580320358276367,0.001
0,57,0.15882062911987305,0.001
0,58,0.1673058122396469,0.001
0,59,0.15811830759048462,0.001
0,60,0.1489478498697281,0.001
0,61,0.1478203535079956,0.001
0,62,0.16262073814868927,0.001
0,63,0.16942456364631653,0.001
0,64,0.2045387327671051,0.001
0,65,0.14309437572956085,0.001
0,66,0.14221137762069702,0.001
0,67,0.14615122973918915,0.001
0,68,0.15147311985492706,0.001
0,69,0.13460904359817505,0.001
0,70,0.1399698108434677,0.001
0,71,0.13472796976566315,0.001
0,72,0.13778361678123474,0.001
0,73,0.13065674901008606,0.001
0,74,0.1562381535768509,0.001
0,75,0.15069831907749176,0.001
0,76,0.12805841863155365,0.001
0,77,0.13083416223526,0.001
0,78,0.12604308128356934,0.001
0,79,0.15004760026931763,0.001
0,80,0.14423628151416779,0.001
0,81,0.16602562367916107,0.001
0,82,0.1232781708240509,0.001
0,83,0.13404038548469543,0.001
0,84,0.1564951092004776,0.001
0,85,0.12040633708238602,0.001
0,86,0.12330109626054764,0.001
0,87,0.1222536489367485,0.001
0,88,0.14141105115413666,0.001
0,89,0.19363239407539368,0.001
0,90,0.12107211351394653,0.001
0,91,0.11512881517410278,0.001
0,92,0.12277872115373611,0.001
0,93,0.13379977643489838,0.001
0,94,0.11262436956167221,0.001
0,95,0.1523498147726059,0.001
0,96,0.12367398291826248,0.001
0,97,0.12767629325389862,0.001
0,98,0.14219121634960175,0.001
1,0,0.13842906057834625,0.001
1,1,0.11386776715517044,0.001
1,2,0.1086069867014885,0.001
1,3,0.11755117774009705,0.001
1,4,0.11097995191812515,0.001
1,5,0.1063205674290657,0.001
1,6,0.10997884720563889,0.001
1,7,0.14514346420764923,0.001
1,8,0.13421626389026642,0.001
1,9,0.15631066262722015,0.001
1,10,0.13848552107810974,0.001
1,11,0.10622966289520264,0.001
1,12,0.10571452975273132,0.001
1,13,0.10071921348571777,0.001
1,14,0.10449033230543137,0.001
1,15,0.09995882213115692,0.001
1,16,0.09832417964935303,0.001
1,17,0.10226628184318542,0.001
1,18,0.09908823668956757,0.001
1,19,0.1430581957101822,0.001
1,20,0.10933475941419601,0.001
1,21,0.10854997485876083,0.001
1,22,0.09938231855630875,0.001
1,23,0.11303333193063736,0.001
1,24,0.0960354134440422,0.001
1,25,0.12348094582557678,0.001
1,26,0.10244933515787125,0.001
1,27,0.0985879898071289,0.001
1,28,0.12281380593776703,0.001
1,29,0.09225969761610031,0.001
1,30,0.10065248608589172,0.001
1,31,0.15513372421264648,0.001
1,32,0.09261777997016907,0.001
1,33,0.08996353298425674,0.001
1,34,0.12166763097047806,0.001
1,35,0.11482775956392288,0.001
1,36,0.09993935376405716,0.001
1,37,0.0891287699341774,0.001
1,38,0.09572405368089676,0.001
1,39,0.08559911698102951,0.001
1,40,0.08440569788217545,0.001
1,41,0.1059805154800415,0.001
1,42,0.10096286237239838,0.001
1,43,0.08340118080377579,0.001
1,44,0.08314945548772812,0.001
1,45,0.10254798084497452,0.001
1,46,0.08063860982656479,0.001
1,47,0.09452203661203384,0.001
1,48,0.09187629818916321,0.001
1,49,0.08222859352827072,0.001
1,50,0.09075745195150375,0.001
1,51,0.07721082866191864,0.001
1,52,0.11082793772220612,0.001
1,53,0.07680953294038773,0.001
1,54,0.08166474103927612,0.001
1,55,0.08492633700370789,0.001
1,56,0.08010859042406082,0.001
1,57,0.09906918555498123,0.001
1,58,0.09154614061117172,0.001
1,59,0.14675994217395782,0.001
1,60,0.08302450180053711,0.001
1,61,0.07670343667268753,0.001
1,62,0.0736229196190834,0.001
1,63,0.12388387322425842,0.001
1,64,0.08106440305709839,0.001
1,65,0.12392021715641022,0.001
1,66,0.07462610304355621,0.001
1,67,0.08964221924543381,0.001
1,68,0.217272087931633,0.001
1,69,0.07540243119001389,0.001
1,70,0.07348719239234924,0.001
1,71,0.0829000174999237,0.001
1,72,0.08858878165483475,0.001
1,73,0.06915995478630066,0.001
1,74,0.07063915580511093,0.001
1,75,0.08496905118227005,0.001
1,76,0.09782236814498901,0.001
1,77,0.09944812953472137,0.001
1,78,0.07060898095369339,0.001
1,79,0.08345266431570053,0.001
1,80,0.06579822301864624,0.001
1,81,0.08186320960521698,0.001
1,82,0.06516037881374359,0.001
1,83,0.08500280976295471,0.001
1,84,0.06349503248929977,0.001
1,85,0.09266012907028198,0.001
1,86,0.07237192243337631,0.001
1,87,0.0827106311917305,0.001
1,88,0.06408806145191193,0.001
1,89,0.08698663860559464,0.001
1,90,0.09199170023202896,0.001
1,91,0.06305849552154541,0.001
1,92,0.06315534561872482,0.001
1,93,0.0724983885884285,0.001
1,94,0.0631718635559082,0.001
1,95,0.0693860724568367,0.001
1,96,0.06106036528944969,0.001
1,97,0.059565991163253784,0.001
1,98,0.09501617401838303,0.001
2,0,0.05824742093682289,0.001
2,1,0.0607687272131443,0.001
2,2,0.058548904955387115,0.001
2,3,0.06195392832159996,0.001
2,4,0.06250375509262085,0.001
2,5,0.06945707648992538,0.001
2,6,0.0883849486708641,0.001
2,7,0.0612558089196682,0.001
2,8,0.0868532583117485,0.001
2,9,0.08516722172498703,0.001
2,10,0.06219536438584328,0.001
2,11,0.06376141309738159,0.001
2,12,0.05534350126981735,0.001
2,13,0.05650348588824272,0.001
2,14,0.06417892128229141,0.001
2,15,0.07214058935642242,0.001
2,16,0.06367794424295425,0.001
2,17,0.05424414947628975,0.001
2,18,0.08087095618247986,0.001
2,19,0.06173054128885269,0.001
2,20,0.05357806012034416,0.001
2,21,0.08459063619375229,0.001
2,22,0.05230799317359924,0.001
2,23,0.05294613167643547,0.001
2,24,0.05159100145101547,0.001
2,25,0.11140771955251694,0.001
2,26,0.05187210068106651,0.001
2,27,0.051004111766815186,0.001
2,28,0.06714170426130295,0.001
2,29,0.04877890646457672,0.001
2,30,0.050184402614831924,0.001
2,31,0.05144855007529259,0.001
2,32,0.07501508295536041,0.001
2,33,0.08422347903251648,0.001
2,34,0.06309840083122253,0.001
2,35,0.07231456786394119,0.001
2,36,0.05075618997216225,0.001
2,37,0.06794706732034683,0.001
2,38,0.050371650606393814,0.001
2,39,0.0574277900159359,0.001
2,40,0.05390963703393936,0.001
2,41,0.045851245522499084,0.001
2,42,0.044819578528404236,0.001
2,43,0.07967650145292282,0.001
2,44,0.04550597444176674,0.001
2,45,0.06790769100189209,0.001
2,46,0.04439001902937889,0.001
2,47,0.05391266569495201,0.001
2,48,0.04439109191298485,0.001
2,49,0.044045064598321915,0.001
2,50,0.057263702154159546,0.001
2,51,0.07275395095348358,0.001
2,52,0.07210968434810638,0.001
2,53,0.04221933335065842,0.001
2,54,0.04243041202425957,0.001
2,55,0.05147833377122879,0.001
2,56,0.04414976388216019,0.001
2,57,0.04554508626461029,0.001
2,58,0.04696828871965408,0.001
2,59,0.05020246282219887,0.001
