version,label,architecture,iou,seg_acc,pd,fa,max_events_num,input_channel,threshold,epochs,optimizer,inference_chunk_size,submission_validation_status,submission_txt_count,direction_aggregation_skipped,delta_iou_vs_v420,delta_seg_acc_vs_v420,delta_pd_vs_v420,delta_fa_vs_v420,notes
v4.2.0,Bottleneck Direction Aggregation (skipped),"Trajectory-Aware Sparse U-Net + Dice, Bottleneck dir-agg (skipped >2000 voxels)",0.5906226853495946,0.888620889689494,0.863922721545569,0.00018397480140427256,50000,8,0.9,50,Adam,50000,ok,24,true,0.0,0.0,0.0,0.0,dir-agg skipped; effectively v4.1.0 code with different random init; highest seg_acc/PD among five versions
v4.1.0,Trajectory-Aware Sparse U-Net + Dice,"Trajectory-Aware Sparse U-Net, xy mean projection Dice auxiliary loss",0.4382160859417172,0.8799041309193051,0.8538429231415372,0.0011525437507880782,50000,8,0.9,50,Adam,50000,ok,24,false,-0.15240659940787738,-0.008716758770188902,-0.010079798404031801,0.0009685689493838057,Dice auxiliary pushes high recall/seg_acc; highest FA among this group.
v4.0.0,Trajectory-Aware Sparse U-Net,Trajectory-Aware Sparse U-Net + MSTB + geometric gated fusion,0.4698802329228083,0.8462736237901871,0.7904241915161697,0.0005560958862550615,50000,8,0.9,50,Adam,50000,ok,24,false,-0.12074245242678632,-0.042347265899306895,-0.0734985300293993,0.00037212108485078894,First architecture loop with MSTB; moderate IoU.
v3.1.3,no-patchattention EV-SpSegNet,"8-channel handcrafted feature EV-SpSegNet, PatchAttention no-op",0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,50000,8,0.9,50,Adam,,ok,24,false,0.1264630483000157,-0.0810154794980612,-0.0541789164216715,-0.00003141054873002076,Highest IoU and strong low-FA baseline.
v2.1.0,v002_slope_0p005 improvement suite,4-channel EV-SpSegNet LeakyReLU slope 0.005,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,20000,4,,50,Adam,,ok,24,false,0.06228136592804041,-0.0784660947088815,-0.0010499790004199003,-0.00007521407287389516,Lowest FA among this group.
