group,epoch,batch,loss,lr
B,0,0,0.3220856785774231,0.001
B,0,1,0.31178969144821167,0.001
B,0,2,0.31828173995018005,0.001
B,0,3,0.31692853569984436,0.001
B,0,4,0.32285138964653015,0.001
B,0,5,0.2959858775138855,0.001
B,0,6,0.2816532552242279,0.001
B,0,7,0.2786606252193451,0.001
B,0,8,0.3051614761352539,0.001
B,0,9,0.2797714173793793,0.001
B,0,10,0.29378876090049744,0.001
B,0,11,0.27210381627082825,0.001
B,0,12,0.28503960371017456,0.001
B,0,13,0.2680628001689911,0.001
B,0,14,0.29513323307037354,0.001
B,0,15,0.26820629835128784,0.001
B,0,16,0.26599714159965515,0.001
B,0,17,0.28805050253868103,0.001
B,0,18,0.2847781479358673,0.001
B,0,19,0.2743954658508301,0.001
B,0,20,0.2958512008190155,0.001
B,0,21,0.27344682812690735,0.001
B,0,22,0.2640143036842346,0.001
B,0,23,0.27138033509254456,0.001
B,0,24,0.2654738128185272,0.001
B,0,25,0.2788272500038147,0.001
B,0,26,0.2519519031047821,0.001
B,0,27,0.2748613953590393,0.001
B,0,28,0.2619507312774658,0.001
B,0,29,0.24153603613376617,0.001
B,0,30,0.24153880774974823,0.001
B,0,31,0.24348168075084686,0.001
B,0,32,0.23595687747001648,0.001
B,0,33,0.2477457970380783,0.001
B,0,34,0.2512909173965454,0.001
B,0,35,0.23027577996253967,0.001
B,0,36,0.2357334941625595,0.001
B,0,37,0.2570502758026123,0.001
B,0,38,0.23021447658538818,0.001
B,0,39,0.24355767667293549,0.001
B,0,40,0.24491752684116364,0.001
B,0,41,0.24334345757961273,0.001
B,0,42,0.22076386213302612,0.001
B,0,43,0.22843796014785767,0.001
B,0,44,0.2560429275035858,0.001
B,0,45,0.2214418351650238,0.001
B,0,46,0.22175553441047668,0.001
B,0,47,0.22512435913085938,0.001
B,0,48,0.21663466095924377,0.001
B,0,49,0.21270252764225006,0.001
B,0,50,0.21063832938671112,0.001
B,0,51,0.21219579875469208,0.001
B,0,52,0.24148856103420258,0.001
B,0,53,0.21526511013507843,0.001
B,0,54,0.2140706181526184,0.001
B,0,55,0.20611806213855743,0.001
B,0,56,0.20440144836902618,0.001
B,0,57,0.20361213386058807,0.001
B,0,58,0.2216092199087143,0.001
B,0,59,0.2254091203212738,0.001
B,0,60,0.22096185386180878,0.001
B,0,61,0.21962709724903107,0.001
B,0,62,0.2106591761112213,0.001
B,0,63,0.24208559095859528,0.001
B,0,64,0.21600429713726044,0.001
B,0,65,0.1959298998117447,0.001
B,0,66,0.21792691946029663,0.001
B,0,67,0.24538829922676086,0.001
B,0,68,0.1924201101064682,0.001
B,0,69,0.20951232314109802,0.001
B,0,70,0.21202601492404938,0.001
B,0,71,0.20459751784801483,0.001
B,0,72,0.2146548330783844,0.001
B,0,73,0.210740327835083,0.001
B,0,74,0.1893230825662613,0.001
B,0,75,0.1972178965806961,0.001
B,0,76,0.20090165734291077,0.001
