version,label,architecture,iou,seg_acc,pd,fa,max_events_num,input_channel,threshold,epochs,optimizer,submission_validation_status,submission_txt_count,delta_iou_vs_v400,delta_seg_acc_vs_v400,delta_pd_vs_v400,delta_fa_vs_v400,notes
v4.0.0,Trajectory-Aware Sparse U-Net,Trajectory-Aware Sparse U-Net + MSTB + geometric gated fusion,0.4698802329228083,0.8462736237901871,0.7904241915161697,0.0005560958862550615,50000,8,0.9,50,Adam,ok,24,0.0,0.0,0.0,0.0,First architecture loop completed; chunked inference avoids large-val OOM.
v3.1.3,no-patchattention EV-SpSegNet,"8-channel handcrafted feature EV-SpSegNet, PatchAttention no-op",0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,50000,8,0.9,50,Adam,ok,24,0.24720550072680197,-0.038668213598754275,0.019319613607727826,-0.00040353163358080967,Current highest IoU and strong low-FA baseline.
v2.1.0,v002_slope_0p005 improvement suite,4-channel EV-SpSegNet LeakyReLU slope 0.005,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,20000,4,,50,Adam,ok,24,0.18302381835482667,-0.03611882880957462,0.0724485510289794,-0.0004473351577246841,Lowest FA and highest PD among this comparison group.
