version,work_point,label,source_version,threshold,iou,seg_acc,pd,fa,tp,fp,fn,pred_positive,gt_positive,total_events,max_events_num,input_channel,optimizer,epochs,submission_validation_status,submission_txt_count,delta_iou_vs_v433,delta_seg_acc_vs_v433,delta_pd_vs_v433,delta_fa_vs_v433,notes
v4.3.4,best-IoU@0.85,v4.3.4 best-IoU threshold tune,v4.3.3,0.85,0.7469500972813798,0.8673861936311178,0.8435531289374213,0.00034018021276454544,56819,10562,8687,67381,65506,1424330,50000,8,Adam,0,not_submitted,,-0.0018649688832988,0.0209446462919428,0.0283494330113399,0.0000980061263902175,"Highest IoU in this comparison; same v4.3.3 best-IoU checkpoint with threshold raised from 0.90 to 0.85 scan-selected best-IoU point."
v4.3.4,recommended@0.92,v4.3.4 recommended low-FA threshold tune,v4.3.3,0.92,0.7404451682953311,0.8328397398711569,0.7988240235195296,0.00020510478004438836,54556,8174,10950,62730,65506,1424330,50000,8,Adam,0,ok,24,-0.0046399601027499,-0.0136018074680181,-0.0163796724065518,-0.0000370693063299396,"Recommended deployable work point: lower FA than v4.3.3 and validated submission, with modest IoU/PD tradeoff."
v4.3.3,baseline@0.90,Trajectory Direction Head,v4.3.3,0.90,0.745085128398081,0.846441547339175,0.8152036959260814,0.00024217408637432794,55447,8911,10059,64358,65506,1424330,50000,8,Adam,50,ok,24,0.0,0.0,0.0,0.0,"Training architecture baseline reused by v4.3.4; Dice + direction head auxiliary supervision, direction aggregation skipped."
v4.2.0,baseline@0.90,Bottleneck Direction Aggregation skipped,v4.2.0,0.90,0.5906226853495946,0.888620889689494,0.863922721545569,0.00018397480140427256,58210,33051,7296,91261,65506,1424330,50000,8,Adam,50,ok,24,-0.1544624430484864,0.042179342350319,0.0487190256194876,-0.0000581992849700554,"Highest seg_acc and PD among listed baselines, but IoU far below v4.3.3/v4.3.4."
v3.1.3,baseline@0.90,no-patchattention EV-SpSegNet,v3.1.3,0.90,0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,52903,8269,12603,61172,65506,1424330,50000,8,Adam,50,ok,24,-0.0279993947484707,-0.0388361371477422,-0.00545989080218386,-0.0000896098337000761,"Strong low-FA 8-channel baseline; lower IoU than v4.3.3/v4.3.4."
v2.1.0,baseline,v002_slope_0p005 improvement suite,v2.1.0,,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,,,,,,65506,,20000,4,Adam,50,ok,24,-0.092181077120446,0.0362867523585625,0.0476690466190677,-0.000133413357843951,"Lowest FA overall; 4-channel baseline remains useful for low false-alarm reference."
