epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
0,0.22695294428955426,0.18780460953712463,0.4220929443836212,0.18780460953712463,,,,
1,0.1971949477388401,0.17245925962924957,0.34262847900390625,0.17245925962924957,,,,
2,0.18608042823545862,0.16606931388378143,0.3198021650314331,0.16606931388378143,,,,
3,0.17875004040472436,0.15929751098155975,0.3108273446559906,0.15929751098155975,,,,
4,0.17284969247952855,0.15427230298519135,0.29839178919792175,0.15427230298519135,,,,
5,0.16784090857313136,0.14982396364212036,0.2929137945175171,0.14982396364212036,,,,
6,0.16344455862888183,0.1462850421667099,0.28362059593200684,0.1462850421667099,,,,
7,0.15954010896008425,0.1425500363111496,0.2796068787574768,0.1425500363111496,,,,
8,0.15590187455668594,0.13928674161434174,0.27315565943717957,0.13928674161434174,,,,
9,0.1524898587453245,0.13614830374717712,0.26976343989372253,0.13614830374717712,,,,
10,0.15068298834140856,0.13530173897743225,0.2663672864437103,0.13530173897743225,,,,
11,0.15041162269284028,0.1350405514240265,0.26591598987579346,0.1350405514240265,,,,
12,0.15012337478122326,0.13472628593444824,0.2655600905418396,0.13472628593444824,,,,
13,0.14984611715331222,0.1345105618238449,0.26523396372795105,0.1345105618238449,,,,
14,0.14956944142327164,0.13430191576480865,0.26479819416999817,0.13430191576480865,,,,
15,0.14932790503959464,0.13409097492694855,0.26442453265190125,0.13409097492694855,,,,
16,0.14909478720992503,0.1337524950504303,0.2642079293727875,0.1337524950504303,,,,
17,0.14882616171933183,0.13369350135326385,0.2639535367488861,0.13369350135326385,,,,
18,0.148604931554409,0.13340617716312408,0.26357388496398926,0.13340617716312408,,,,
19,0.1483700889529604,0.13316746056079865,0.26323455572128296,0.13316746056079865,,,,
20,0.14828080285077144,0.1331106722354889,0.2630423903465271,0.1331106722354889,,,,
21,0.1482211124114316,0.1330840140581131,0.26300936937332153,0.1330840140581131,,,,
22,0.14826684603185364,0.1330728828907013,0.26298731565475464,0.1330728828907013,,,,
23,0.1481945499627277,0.13304202258586884,0.2629523277282715,0.13304202258586884,,,,
24,0.14821170405908066,0.1330370306968689,0.26293060183525085,0.1330370306968689,,,,
25,0.14815901099431394,0.13301438093185425,0.2629008889198303,0.13301438093185425,,,,
26,0.1481093266094574,0.13299313187599182,0.2628726363182068,0.13299313187599182,,,,
27,0.14810797421619146,0.13297978043556213,0.2628481686115265,0.13297978043556213,,,,
28,0.14812929025202087,0.1329624503850937,0.2628205418586731,0.1329624503850937,,,,
29,0.1481115408618041,0.13294973969459534,0.26280033588409424,0.13294973969459534,,,,
30,0.14806469642754758,0.13293467462062836,0.2627749443054199,0.13293467462062836,,,,
31,0.1480713461083595,0.13293246924877167,0.2627721428871155,0.13293246924877167,,,,
32,0.14805407912442178,0.13293159008026123,0.2627701461315155,0.13293159008026123,,,,
33,0.14806741506162316,0.1329292356967926,0.26276811957359314,0.1329292356967926,,,,
34,0.14810768597655827,0.1329285204410553,0.262766033411026,0.1329285204410553,,,,
35,0.14803247575205986,0.1329256147146225,0.26276376843452454,0.1329256147146225,,,,
36,0.14807781245973375,0.13292533159255981,0.2627614438533783,0.13292533159255981,,,,
37,0.14805844983067176,0.13292239606380463,0.2627590596675873,0.13292239606380463,,,,
38,0.14802697045032423,0.13292157649993896,0.26275724172592163,0.13292157649993896,,,,
39,0.14806809118299774,0.13292066752910614,0.2627551555633545,0.13292066752910614,,,,
40,0.14806564122137397,0.1329193264245987,0.26275309920310974,0.1329193264245987,0.011350837533649122,0.02169266937379782,0.10121797564048719,0.0011335409909734816
41,0.14805773848837073,0.132899671792984,0.2627530097961426,0.132899671792984,0.011510228207647393,0.021997984917412144,0.10289794204115918,0.0011333573035540079
42,0.14808841200187953,0.1329193264245987,0.2627529203891754,0.132899671792984,0.012426474696122014,0.023768815070375232,0.11024779504409912,0.0011401418872732823
43,0.14806536276533147,0.1329193264245987,0.26275283098220825,0.132899671792984,0.011694131367270811,0.02234909779256862,0.10373792524149517,0.0011342105612444668
44,0.14805081862993916,0.1329193413257599,0.2627526819705963,0.132899671792984,0.011184252572378092,0.021372088053002777,0.0997480050398992,0.0011329454882103489
45,0.14805405684793838,0.1329193264245987,0.26275259256362915,0.132899671792984,0.012201929978467183,0.023356639086495892,0.10646787064258714,0.001153014820138019
46,0.1480878937726069,0.1329193264245987,0.262752503156662,0.132899671792984,0.01228795301852768,0.023509296858303056,0.10709785804283914,0.0011453592025264011
47,0.14807350707776618,0.1329193264245987,0.26275238394737244,0.132899671792984,0.012515355040441586,0.023952004396543828,0.11024779504409912,0.0011472345918252225
48,0.14804700799662657,0.1329193264245987,0.26275235414505005,0.132899671792984,0.010996041425086969,0.020990443623484872,0.0993280134397312,0.0011129265221880183
49,0.14808648734381705,0.1329193264245987,0.2627522349357605,0.132899671792984,0.012778814113295388,0.02447104082068818,0.1127677446451071,0.0011568189273413155
