epoch,batch,loss,lr
0,0,0.27833035588264465,0.001
0,1,0.29501399397850037,0.001
0,2,0.3036133348941803,0.001
0,3,0.23778241872787476,0.001
0,4,0.2505982220172882,0.001
0,5,0.26259955763816833,0.001
0,6,0.29854220151901245,0.001
0,7,0.27476000785827637,0.001
0,8,0.23658528923988342,0.001
0,9,0.22335046529769897,0.001
0,10,0.24257121980190277,0.001
0,11,0.22912943363189697,0.001
0,12,0.23422871530056,0.001
0,13,0.27125123143196106,0.001
0,14,0.25515756011009216,0.001
0,15,0.21822236478328705,0.001
0,16,0.22301045060157776,0.001
0,17,0.2645389139652252,0.001
0,18,0.23389992117881775,0.001
0,19,0.2520676553249359,0.001
0,20,0.22208572924137115,0.001
0,21,0.2257949262857437,0.001
0,22,0.2205788493156433,0.001
0,23,0.23440012335777283,0.001
0,24,0.21202871203422546,0.001
0,25,0.2703271508216858,0.001
0,26,0.2654145061969757,0.001
0,27,0.2114589363336563,0.001
0,28,0.22435550391674042,0.001
0,29,0.2550298571586609,0.001
0,30,0.4220929443836212,0.001
0,31,0.21635659039020538,0.001
0,32,0.23352941870689392,0.001
0,33,0.21029387414455414,0.001
0,34,0.20750950276851654,0.001
0,35,0.20846956968307495,0.001
0,36,0.22469449043273926,0.001
0,37,0.25647690892219543,0.001
0,38,0.2524905800819397,0.001
0,39,0.20893335342407227,0.001
0,40,0.21114890277385712,0.001
0,41,0.21185603737831116,0.001
0,42,0.21030429005622864,0.001
0,43,0.2561114430427551,0.001
0,44,0.20518147945404053,0.001
0,45,0.20512187480926514,0.001
0,46,0.25298577547073364,0.001
0,47,0.20784986019134521,0.001
0,48,0.2675607204437256,0.001
0,49,0.25523483753204346,0.001
0,50,0.20433492958545685,0.001
0,51,0.21511855721473694,0.001
0,52,0.26398932933807373,0.001
0,53,0.20224109292030334,0.001
0,54,0.21251235902309418,0.001
0,55,0.19965416193008423,0.001
0,56,0.21196964383125305,0.001
0,57,0.21506568789482117,0.001
0,58,0.2214435636997223,0.001
0,59,0.21139782667160034,0.001
0,60,0.20664668083190918,0.001
0,61,0.20739170908927917,0.001
0,62,0.22332429885864258,0.001
0,63,0.23155687749385834,0.001
0,64,0.26917794346809387,0.001
0,65,0.20481425523757935,0.001
0,66,0.2039964497089386,0.001
0,67,0.1996682733297348,0.001
0,68,0.22099342942237854,0.001
0,69,0.19525036215782166,0.001
0,70,0.20495577156543732,0.001
0,71,0.1990227848291397,0.001
0,72,0.2075721025466919,0.001
0,73,0.19250905513763428,0.001
0,74,0.2234964817762375,0.001
0,75,0.19867157936096191,0.001
0,76,0.19416767358779907,0.001
0,77,0.20341119170188904,0.001
0,78,0.1940886378288269,0.001
0,79,0.2189609259366989,0.001
0,80,0.198150172829628,0.001
0,81,0.2450122833251953,0.001
0,82,0.19356441497802734,0.001
0,83,0.19774894416332245,0.001
0,84,0.2364763468503952,0.001
0,85,0.19268549978733063,0.001
0,86,0.19679270684719086,0.001
0,87,0.1963300108909607,0.001
0,88,0.21516621112823486,0.001
0,89,0.2655520439147949,0.001
0,90,0.19510455429553986,0.001
0,91,0.18780460953712463,0.001
0,92,0.20126557350158691,0.001
0,93,0.19692401587963104,0.001
0,94,0.18787804245948792,0.001
0,95,0.2402724176645279,0.001
0,96,0.1945144534111023,0.001
0,97,0.19721126556396484,0.001
0,98,0.2215542197227478,0.001
1,0,0.22026455402374268,0.001
1,1,0.19978494942188263,0.001
1,2,0.18912573158740997,0.001
1,3,0.20270311832427979,0.001
1,4,0.19392895698547363,0.001
1,5,0.18704937398433685,0.001
1,6,0.19613584876060486,0.001
1,7,0.23284602165222168,0.001
1,8,0.21870675683021545,0.001
1,9,0.24248896539211273,0.001
1,10,0.22853724658489227,0.001
1,11,0.1949535608291626,0.001
1,12,0.1917911171913147,0.001
1,13,0.18570755422115326,0.001
1,14,0.19451206922531128,0.001
1,15,0.18813197314739227,0.001
1,16,0.18561045825481415,0.001
1,17,0.1943800002336502,0.001
1,18,0.18287311494350433,0.001
1,19,0.2300386130809784,0.001
1,20,0.19254976511001587,0.001
1,21,0.1919640153646469,0.001
1,22,0.19141186773777008,0.001
1,23,0.20477408170700073,0.001
1,24,0.19084571301937103,0.001
1,25,0.2251390814781189,0.001
1,26,0.20253364741802216,0.001
1,27,0.1905115395784378,0.001
1,28,0.21906723082065582,0.001
1,29,0.18834055960178375,0.001
1,30,0.20281170308589935,0.001
1,31,0.25045421719551086,0.001
1,32,0.1818181872367859,0.001
1,33,0.18858055770397186,0.001
1,34,0.22341302037239075,0.001
1,35,0.19222474098205566,0.001
1,36,0.1948937028646469,0.001
1,37,0.19034001231193542,0.001
1,38,0.19189056754112244,0.001
1,39,0.1809428185224533,0.001
1,40,0.18296651542186737,0.001
1,41,0.21076904237270355,0.001
1,42,0.1872333288192749,0.001
1,43,0.1796565055847168,0.001
1,44,0.1830679178237915,0.001
1,45,0.21159647405147552,0.001
1,46,0.17911362648010254,0.001
1,47,0.1955331563949585,0.001
1,48,0.1924605667591095,0.001
1,49,0.19092613458633423,0.001
1,50,0.20035456120967865,0.001
1,51,0.17803090810775757,0.001
1,52,0.2271261066198349,0.001
1,53,0.17829929292201996,0.001
1,54,0.18936142325401306,0.001
1,55,0.18432599306106567,0.001
1,56,0.18651476502418518,0.001
1,57,0.2039106786251068,0.001
1,58,0.1839207261800766,0.001
1,59,0.2515055239200592,0.001
1,60,0.18601952493190765,0.001
1,61,0.1890438199043274,0.001
1,62,0.1800820529460907,0.001
1,63,0.23460954427719116,0.001
1,64,0.19026096165180206,0.001
1,65,0.21950314939022064,0.001
1,66,0.176545649766922,0.001
1,67,0.20213183760643005,0.001
1,68,0.34262847900390625,0.001
1,69,0.1840772181749344,0.001
1,70,0.18193349242210388,0.001
1,71,0.1985774040222168,0.001
1,72,0.18330636620521545,0.001
1,73,0.17789147794246674,0.001
1,74,0.1843356043100357,0.001
1,75,0.19926902651786804,0.001
1,76,0.2233772575855255,0.001
1,77,0.18817944824695587,0.001
1,78,0.1840648651123047,0.001
1,79,0.18897011876106262,0.001
1,80,0.17522338032722473,0.001
1,81,0.19032470881938934,0.001
1,82,0.17428378760814667,0.001
1,83,0.18971049785614014,0.001
1,84,0.17530159652233124,0.001
1,85,0.21071049571037292,0.001
1,86,0.19621378183364868,0.001
1,87,0.2090539038181305,0.001
1,88,0.17968514561653137,0.001
1,89,0.20216548442840576,0.001
1,90,0.18640433251857758,0.001
1,91,0.17368941009044647,0.001
1,92,0.18136288225650787,0.001
1,93,0.184798002243042,0.001
1,94,0.17293867468833923,0.001
1,95,0.18690437078475952,0.001
1,96,0.17245925962924957,0.001
1,97,0.17979642748832703,0.001
1,98,0.21571612358093262,0.001
2,0,0.17395062744617462,0.001
2,1,0.17261992394924164,0.001
2,2,0.17887306213378906,0.001
2,3,0.17912162840366364,0.001
2,4,0.1846165508031845,0.001
2,5,0.1950264722108841,0.001
2,6,0.18580594658851624,0.001
2,7,0.17294275760650635,0.001
2,8,0.21040081977844238,0.001
2,9,0.20811161398887634,0.001
2,10,0.1849915087223053,0.001
2,11,0.18548600375652313,0.001
2,12,0.1752241849899292,0.001
2,13,0.18179671466350555,0.001
2,14,0.18316501379013062,0.001
2,15,0.20602993667125702,0.001
2,16,0.1863693743944168,0.001
2,17,0.17686057090759277,0.001
2,18,0.20785711705684662,0.001
2,19,0.18286345899105072,0.001
2,20,0.1780054122209549,0.001
2,21,0.2133215367794037,0.001
2,22,0.1806183159351349,0.001
2,23,0.17063285410404205,0.001
2,24,0.1708194613456726,0.001
2,25,0.24321605265140533,0.001
2,26,0.17852549254894257,0.001
2,27,0.1789831519126892,0.001
2,28,0.18459567427635193,0.001
2,29,0.1699330061674118,0.001
2,30,0.1770649552345276,0.001
2,31,0.1775723099708557,0.001
