epoch,batch,loss,main_loss,trajectory_projection_dice_loss,trajectory_direction_loss,trajectory_projection_dice_weight,trajectory_direction_weight,lr
0,0,0.724270224571228,0.35683929920196533,0.9655668139457703,0.38880425691604614,0.3,0.2,0.001
0,1,0.7594773173332214,0.3393175005912781,0.9699278473854065,0.6459072828292847,0.3,0.2,0.001
0,2,0.7095978260040283,0.3329469859600067,0.9213539361953735,0.501223087310791,0.3,0.2,0.001
0,3,0.720333993434906,0.3549925684928894,0.8563110828399658,0.5422403812408447,0.3,0.2,0.001
0,4,0.6331292390823364,0.3218673765659332,0.7348858118057251,0.45398056507110596,0.3,0.2,0.001
0,5,0.687532365322113,0.31866440176963806,0.9353296160697937,0.4413453936576843,0.3,0.2,0.001
0,6,0.6761043667793274,0.30576616525650024,0.947012186050415,0.4311724901199341,0.3,0.2,0.001
0,7,0.6504627466201782,0.3068642020225525,0.8965049386024475,0.373235285282135,0.3,0.2,0.001
0,8,0.6329493522644043,0.28622516989707947,0.8939075469970703,0.3927595317363739,0.3,0.2,0.001
0,9,0.6454171538352966,0.2841540277004242,0.9511640667915344,0.3795695900917053,0.3,0.2,0.001
0,10,0.6344088315963745,0.2751258909702301,0.8819637298583984,0.4734688997268677,0.3,0.2,0.001
0,11,0.6742857694625854,0.2766241729259491,0.9565972089767456,0.5534120202064514,0.3,0.2,0.001
0,12,0.6102792024612427,0.2607711851596832,0.8848575949668884,0.4202536642551422,0.3,0.2,0.001
0,13,0.6495981812477112,0.2643739581108093,0.9398416876792908,0.5163583159446716,0.3,0.2,0.001
0,14,0.5719043612480164,0.26107582449913025,0.7690814733505249,0.4005204141139984,0.3,0.2,0.001
0,15,0.5996457934379578,0.2518756687641144,0.8716530203819275,0.43137112259864807,0.3,0.2,0.001
0,16,0.5621715188026428,0.274149090051651,0.6344693899154663,0.4884079694747925,0.3,0.2,0.001
0,17,0.6217288970947266,0.2512552738189697,0.9463903903961182,0.43278250098228455,0.3,0.2,0.001
0,18,0.6474661231040955,0.2848409116268158,0.9867923855781555,0.33293744921684265,0.3,0.2,0.001
0,19,0.6284129023551941,0.2499418705701828,0.9525713920593262,0.463498055934906,0.3,0.2,0.001
0,20,0.5605008602142334,0.24465686082839966,0.8016809225082397,0.37669864296913147,0.3,0.2,0.001
0,21,0.5573770403862,0.23566502332687378,0.886681318283081,0.2785382866859436,0.3,0.2,0.001
0,22,0.5803406834602356,0.2441696971654892,0.79213547706604,0.4926518201828003,0.3,0.2,0.001
0,23,0.6006264090538025,0.23257729411125183,0.8655447959899902,0.5419282913208008,0.3,0.2,0.001
0,24,0.5812557339668274,0.2702002227306366,0.7648575305938721,0.40799111127853394,0.3,0.2,0.001
0,25,0.5274308919906616,0.23345454037189484,0.7019281387329102,0.41698944568634033,0.3,0.2,0.001
0,26,0.5677042603492737,0.23285463452339172,0.8222987651824951,0.4407998025417328,0.3,0.2,0.001
0,27,0.6662926077842712,0.29063084721565247,0.9657405018806458,0.42969805002212524,0.3,0.2,0.001
0,28,0.6549007892608643,0.2328101098537445,0.9458289742469788,0.6917097568511963,0.3,0.2,0.001
0,29,0.47286808490753174,0.22277264297008514,0.5974812507629395,0.35425522923469543,0.3,0.2,0.001
0,30,0.5526367425918579,0.2160010039806366,0.8142452239990234,0.4618109166622162,0.3,0.2,0.001
0,31,0.5556536316871643,0.2439366579055786,0.7542164921760559,0.4272601902484894,0.3,0.2,0.001
0,32,0.6736382842063904,0.27792423963546753,0.9790592789649963,0.5099813342094421,0.3,0.2,0.001
0,33,0.5695074796676636,0.2224798947572708,0.725800096988678,0.6464375853538513,0.3,0.2,0.001
0,34,0.5790510773658752,0.21260961890220642,0.8503493070602417,0.5566831231117249,0.3,0.2,0.001
0,35,0.6015819311141968,0.21346022188663483,0.8807003498077393,0.6195582151412964,0.3,0.2,0.001
0,36,0.4839014410972595,0.20742028951644897,0.5953893065452576,0.489321768283844,0.3,0.2,0.001
0,37,0.5804049968719482,0.2137342244386673,0.903295636177063,0.4784104824066162,0.3,0.2,0.001
0,38,0.4834727942943573,0.2076874077320099,0.6352624893188477,0.4260331094264984,0.3,0.2,0.001
0,39,0.45606738328933716,0.19936425983905792,0.5746101140975952,0.4216002821922302,0.3,0.2,0.001
0,40,0.6051257848739624,0.22786709666252136,0.9189246296882629,0.5079062581062317,0.3,0.2,0.001
0,41,0.5337008237838745,0.20850326120853424,0.7649747133255005,0.4785257875919342,0.3,0.2,0.001
0,42,0.5489561557769775,0.19522453844547272,0.7521086931228638,0.6404948830604553,0.3,0.2,0.001
0,43,0.48805075883865356,0.1951535940170288,0.62766432762146,0.5229893326759338,0.3,0.2,0.001
0,44,0.6299231052398682,0.24790963530540466,0.9582182765007019,0.4727398455142975,0.3,0.2,0.001
0,45,0.5272393822669983,0.2152733951807022,0.7804815769195557,0.3891074061393738,0.3,0.2,0.001
0,46,0.42554497718811035,0.18252497911453247,0.5477575063705444,0.3934636414051056,0.3,0.2,0.001
0,47,0.5595804452896118,0.19508877396583557,0.8817290663719177,0.4998645484447479,0.3,0.2,0.001
0,48,0.5885790586471558,0.21441324055194855,0.9304739832878113,0.47511816024780273,0.3,0.2,0.001
0,49,0.6526439785957336,0.25836747884750366,0.9000774621963501,0.6212661862373352,0.3,0.2,0.001
0,50,0.557905912399292,0.1983790397644043,0.7892600893974304,0.6137441396713257,0.3,0.2,0.001
0,51,0.5843842625617981,0.19680719077587128,0.8463555574417114,0.6683520078659058,0.3,0.2,0.001
0,52,0.568233072757721,0.19313393533229828,0.9048213958740234,0.5182635188102722,0.3,0.2,0.001
0,53,0.5677197575569153,0.19159060716629028,0.9080691337585449,0.5185418725013733,0.3,0.2,0.001
0,54,0.5379443764686584,0.20229725539684296,0.8380705118179321,0.42112985253334045,0.3,0.2,0.001
0,55,0.49242863059043884,0.19592136144638062,0.705956220626831,0.4236019551753998,0.3,0.2,0.001
0,56,0.522189736366272,0.18197397887706757,0.884315550327301,0.3746052086353302,0.3,0.2,0.001
0,57,0.5835962295532227,0.20646175742149353,0.9251517653465271,0.4979446232318878,0.3,0.2,0.001
0,58,0.48927798867225647,0.18079201877117157,0.7162836790084839,0.46800416707992554,0.3,0.2,0.001
0,59,0.5748278498649597,0.17973527312278748,0.8839138150215149,0.6495921611785889,0.3,0.2,0.001
0,60,0.5914050340652466,0.220344677567482,0.9534795880317688,0.4250825345516205,0.3,0.2,0.001
0,61,0.45996353030204773,0.17456626892089844,0.6908005475997925,0.39078542590141296,0.3,0.2,0.001
0,62,0.5862432718276978,0.19493314623832703,0.950495183467865,0.5308077931404114,0.3,0.2,0.001
0,63,0.4104357361793518,0.1755685657262802,0.5264700651168823,0.38463062047958374,0.3,0.2,0.001
0,64,0.41887062788009644,0.16388989984989166,0.6227648854255676,0.34075623750686646,0.3,0.2,0.001
0,65,0.41177821159362793,0.1788499653339386,0.48733091354370117,0.4336448311805725,0.3,0.2,0.001
0,66,0.4967438876628876,0.16553549468517303,0.7885957360267639,0.4731483459472656,0.3,0.2,0.001
0,67,0.5371180176734924,0.1661243885755539,0.845500111579895,0.586717963218689,0.3,0.2,0.001
0,68,0.5741708874702454,0.2067323625087738,0.9295836687088013,0.44281697273254395,0.3,0.2,0.001
0,69,0.5196973085403442,0.16287736594676971,0.8731891512870789,0.47431573271751404,0.3,0.2,0.001
0,70,0.4740790128707886,0.1561339795589447,0.7069783210754395,0.5292576551437378,0.3,0.2,0.001
0,71,0.5245635509490967,0.16741609573364258,0.9042196273803711,0.42940792441368103,0.3,0.2,0.001
0,72,0.6151701211929321,0.2248964160680771,0.9670986533164978,0.5007203221321106,0.3,0.2,0.001
0,73,0.4240803122520447,0.16586551070213318,0.6173612475395203,0.36503201723098755,0.3,0.2,0.001
0,74,0.5120670795440674,0.16032397747039795,0.8859367370605469,0.42981019616127014,0.3,0.2,0.001
0,75,0.43108585476875305,0.1462850421667099,0.7109347581863403,0.35760176181793213,0.3,0.2,0.001
0,76,0.521510124206543,0.1548115313053131,0.8495937585830688,0.5591022968292236,0.3,0.2,0.001
0,77,0.5648519992828369,0.19710417091846466,0.9780799746513367,0.37161922454833984,0.3,0.2,0.001
0,78,0.4721634089946747,0.15236526727676392,0.8008487820625305,0.39771753549575806,0.3,0.2,0.001
0,79,0.3689764738082886,0.14594930410385132,0.510351836681366,0.34960803389549255,0.3,0.2,0.001
0,80,0.35558220744132996,0.14235495030879974,0.4970576763153076,0.32054975628852844,0.3,0.2,0.001
0,81,0.5645987391471863,0.18105638027191162,0.9705652594566345,0.46186378598213196,0.3,0.2,0.001
0,82,0.5631449222564697,0.180365189909935,0.9458191990852356,0.4951697587966919,0.3,0.2,0.001
0,83,0.4282180070877075,0.1418437957763672,0.7134172916412354,0.36174502968788147,0.3,0.2,0.001
0,84,0.41832002997398376,0.13541831076145172,0.6823442578315735,0.390992134809494,0.3,0.2,0.001
0,85,0.5538822412490845,0.16857215762138367,0.9489834308624268,0.503075122833252,0.3,0.2,0.001
0,86,0.4499729871749878,0.1390683650970459,0.7986285090446472,0.35658034682273865,0.3,0.2,0.001
0,87,0.5422984957695007,0.16861796379089355,0.9707145690917969,0.412330687046051,0.3,0.2,0.001
0,88,0.514049768447876,0.14163848757743835,0.8802577257156372,0.5416698455810547,0.3,0.2,0.001
0,89,0.4421573877334595,0.13525688648223877,0.7182382345199585,0.457145094871521,0.3,0.2,0.001
0,90,0.5384523272514343,0.156640887260437,0.9638999104499817,0.4632071554660797,0.3,0.2,0.001
0,91,0.3859596252441406,0.1282711923122406,0.6385053396224976,0.330684095621109,0.3,0.2,0.001
0,92,0.33027011156082153,0.13028575479984283,0.46631067991256714,0.3004557192325592,0.3,0.2,0.001
0,93,0.34972816705703735,0.1271577775478363,0.492550253868103,0.3740265667438507,0.3,0.2,0.001
0,94,0.3998427391052246,0.12495232373476028,0.6864649057388306,0.34475457668304443,0.3,0.2,0.001
0,95,0.5573655366897583,0.16631953418254852,0.9638004302978516,0.5095294117927551,0.3,0.2,0.001
0,96,0.35014021396636963,0.1254730224609375,0.5868048071861267,0.24312874674797058,0.3,0.2,0.001
0,97,0.4456653892993927,0.18831875920295715,0.5422477126121521,0.4733614921569824,0.3,0.2,0.001
