threshold,iou,seg_acc,pd,fa,tp,fp,fn,pred_positive,gt_positive,total_events,tags,version,experiment,seed,max_events_num,inference_chunk_size,input_channel,optimizer,no_patchattention,trajectory_direction_head,bottleneck_direction_aggregation,inference_uses_auxiliary_head,input_norm_stats_path,input_norm_epsilon,input_norm_clip,transformer_enabled,transformer_insert_position,transformer_token_limit
0.7,0.4841969274317641,0.8982841266448874,0.8899622007559849,0.001276692744749858,58843,56021,6663,114864,65506,1424330,best-PD,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.75,0.4850200421505021,0.8958721338503344,0.8859722805543889,0.0012408677725518377,58685,55489,6821,114174,65506,1424330,,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,best-IoU;recommended,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.85,0.48543819172768915,0.8865142124385552,0.870642587148257,0.0011392827041821951,58072,54122,7434,112194,65506,1424330,,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.9,0.4833435968382781,0.8746832351235001,0.8538429231415372,0.0010622821230189016,57297,53037,8209,110334,65506,1424330,,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.92,0.48106770193179793,0.8663786523371905,0.8433431331373372,0.001027805179463794,56753,52467,8753,109220,65506,1424330,,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.94,0.4756847067247449,0.8518914297926907,0.8227635447291054,0.0009853289450606334,55804,51807,9702,107611,65506,1424330,,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.95,0.4708528232185461,0.8405642231245992,0.8118437631247375,0.0009673364660531428,55062,51435,10444,106497,65506,1424330,,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
0.97,0.45217840982546864,0.8009037340090984,0.7673246535069299,0.0009156195693703242,52464,50519,13042,102983,65506,1424330,lowest-FA,v6.0.0,transformer_on_v450,316,50000,50000,8,Adam,True,True,True,False,/root/EV-UAV/log/versions/v6.0.0-transformer-on-v450/cache/v600_input_stats.json,1e-06,False,True,after_bottleneck_mstb,512
