epoch,batch,loss,main_loss,trajectory_projection_dice_loss,trajectory_direction_loss,direction_cosine_loss,direction_confidence_bce,direction_valid_ratio,aggregation_apply_ratio,avg_neighbor_count,bottleneck_voxels,direction_aggregation_skipped,trajectory_projection_dice_weight,trajectory_direction_weight,lr
0,0,0.7628446221351624,0.4090593755245209,0.9708470106124878,0.6253117322921753,0.21041853725910187,0.6175121068954468,0.0011230219388380647,0.0,0.0,78360,disabled_by_diagnostic,0.3,0.1,0.001
0,1,0.6787753701210022,0.3859619200229645,0.8443772196769714,0.39500319957733154,0.11481645703315735,0.4358510971069336,0.004760125186294317,0.0,0.0,50839,disabled_by_diagnostic,0.3,0.1,0.001
0,2,0.6446271538734436,0.364477276802063,0.8264435529708862,0.32216784358024597,0.14327433705329895,0.2926405370235443,0.002534471917897463,0.0,0.0,66286,disabled_by_diagnostic,0.3,0.1,0.001
0,3,0.6406983733177185,0.3485509753227234,0.9051163196563721,0.20612506568431854,0.08176777511835098,0.2111469954252243,0.0009673878666944802,0.0,0.0,53753,disabled_by_diagnostic,0.3,0.1,0.001
0,4,0.6220768094062805,0.34183064103126526,0.88442462682724,0.1491875797510147,0.06105247884988785,0.15411484241485596,0.0020554002840071917,0.0,0.0,41841,disabled_by_diagnostic,0.3,0.1,0.001
0,5,0.5819152593612671,0.3221435546875,0.8278087973594666,0.11429058760404587,0.04702400043606758,0.12044984102249146,0.0035371012054383755,0.0,0.0,39015,disabled_by_diagnostic,0.3,0.1,0.001
0,6,0.574956476688385,0.3287326395511627,0.7910153865814209,0.08919205516576767,0.03551127761602402,0.09747973084449768,0.0017536849481984973,0.0,0.0,45048,disabled_by_diagnostic,0.3,0.1,0.001
0,7,0.6555625796318054,0.353179007768631,0.9776811003684998,0.09079235792160034,0.03066261298954487,0.1082734689116478,0.00046477108844555914,0.0,0.0,133399,disabled_by_diagnostic,0.3,0.1,0.001
0,8,0.6136674284934998,0.3146963119506836,0.95264732837677,0.13176916539669037,0.093440942466259,0.071141816675663,0.0009614939917810261,0.0,0.0,108165,disabled_by_diagnostic,0.3,0.1,0.001
0,9,0.6280591487884521,0.3259046673774719,0.986592710018158,0.0617663636803627,0.028313321992754936,0.0628579705953598,0.00028094908338971436,0.0,0.0,117459,disabled_by_diagnostic,0.3,0.1,0.001
0,10,0.57487952709198,0.300154447555542,0.8656743168830872,0.1502276211977005,0.12216467410326004,0.052677348256111145,0.001869624829851091,0.0,0.0,64184,disabled_by_diagnostic,0.3,0.1,0.001
0,11,0.4749850630760193,0.2648239731788635,0.6631134748458862,0.11227036267518997,0.08700460940599442,0.047606393694877625,0.0033742671366780996,0.0,0.0,18078,disabled_by_diagnostic,0.3,0.1,0.001
0,12,0.5191980600357056,0.2797946631908417,0.7794431447982788,0.055703967809677124,0.0342288576066494,0.04081633687019348,0.0011670920066535473,0.0,0.0,50553,disabled_by_diagnostic,0.3,0.1,0.001
0,13,0.5650230646133423,0.27642500400543213,0.9321864247322083,0.08942139893770218,0.07062514871358871,0.03600971773266792,0.0008804465760476887,0.0,0.0,106764,disabled_by_diagnostic,0.3,0.1,0.001
0,14,0.5803536176681519,0.2836909294128418,0.9571748971939087,0.09510199725627899,0.07729822397232056,0.03403306007385254,0.0007073913002386689,0.0,0.0,107437,disabled_by_diagnostic,0.3,0.1,0.001
0,15,0.44078150391578674,0.24659867584705353,0.6360738277435303,0.03360660374164581,0.01565820723772049,0.033800479024648666,0.0017739747418090701,0.0,0.0,19166,disabled_by_diagnostic,0.3,0.1,0.001
0,16,0.5825554132461548,0.2965027689933777,0.9435107707977295,0.02999395877122879,0.014721870422363281,0.029095521196722984,0.0008803172968327999,0.0,0.0,98828,disabled_by_diagnostic,0.3,0.1,0.001
0,17,0.5162768363952637,0.2506036162376404,0.8746734261512756,0.03271230682730675,0.019353333860635757,0.025722654536366463,0.0008424448897130787,0.0,0.0,55790,disabled_by_diagnostic,0.3,0.1,0.001
0,18,0.5439075827598572,0.25388938188552856,0.91346675157547,0.15978164970874786,0.14712437987327576,0.024506794288754463,0.0008780542993918061,0.0,0.0,105916,disabled_by_diagnostic,0.3,0.1,0.001
0,19,0.53243488073349,0.2536655068397522,0.9112747311592102,0.053869739174842834,0.04171350598335266,0.023388788104057312,0.0007450110861100256,0.0,0.0,56375,disabled_by_diagnostic,0.3,0.1,0.001
0,20,0.4177079200744629,0.23869141936302185,0.5763355493545532,0.06115810573101044,0.046767231076955795,0.02715364098548889,0.0023323313798755407,0.0,0.0,19294,disabled_by_diagnostic,0.3,0.1,0.001
0,21,0.5781208872795105,0.29224056005477905,0.943220853805542,0.029140833765268326,0.017669331282377243,0.022197242826223373,0.0003791469207499176,0.0,0.0,63300,disabled_by_diagnostic,0.3,0.1,0.001
0,22,0.5214332938194275,0.23986412584781647,0.909475564956665,0.08726485818624496,0.07573748379945755,0.022001022472977638,0.0013781021116301417,0.0,0.0,93607,disabled_by_diagnostic,0.3,0.1,0.001
0,23,0.5564464330673218,0.2661794126033783,0.9447931051254272,0.06829053908586502,0.0579165518283844,0.020003480836749077,0.0009495213744230568,0.0,0.0,77934,disabled_by_diagnostic,0.3,0.1,0.001
0,24,0.5084538459777832,0.23361703753471375,0.8836967945098877,0.09727731347084045,0.08714792132377625,0.019432594999670982,0.001382204587571323,0.0,0.0,60049,disabled_by_diagnostic,0.3,0.1,0.001
0,25,0.5069079399108887,0.23438914120197296,0.8815582394599915,0.08051355183124542,0.07093013823032379,0.01835678331553936,0.0011543051805347204,0.0,0.0,51113,disabled_by_diagnostic,0.3,0.1,0.001
0,26,0.40281081199645996,0.21433524787425995,0.5966863632202148,0.09469618648290634,0.08325331658124924,0.02162664197385311,0.002090343739837408,0.0,0.0,19614,disabled_by_diagnostic,0.3,0.1,0.001
0,27,0.3943585753440857,0.21561555564403534,0.5784962177276611,0.05194118991494179,0.03852500021457672,0.02477550320327282,0.003570116125047207,0.0,0.0,19047,disabled_by_diagnostic,0.3,0.1,0.001
0,28,0.4541447162628174,0.2279016077518463,0.7416452169418335,0.037495531141757965,0.028030991554260254,0.018019162118434906,0.0017779094632714987,0.0,0.0,40497,disabled_by_diagnostic,0.3,0.1,0.001
0,29,0.5943069458007812,0.30195292830467224,0.9654726982116699,0.027121976017951965,0.01786094531416893,0.017866287380456924,0.0005117168184369802,0.0,0.0,132886,disabled_by_diagnostic,0.3,0.1,0.001
0,30,0.44028088450431824,0.2072252333164215,0.7623405456542969,0.043535005301237106,0.029574191197752953,0.025563595816493034,0.005013583227992058,0.0,0.0,45277,disabled_by_diagnostic,0.3,0.1,0.001
0,31,0.47247183322906494,0.24568253755569458,0.7378760576248169,0.054264768958091736,0.04555313661694527,0.016782930120825768,0.0011505939764901996,0.0,0.0,74744,disabled_by_diagnostic,0.3,0.1,0.001
0,32,0.442341148853302,0.2050291895866394,0.7699382305145264,0.06330488622188568,0.053586654365062714,0.01830372028052807,0.0025570858269929886,0.0,0.0,44582,disabled_by_diagnostic,0.3,0.1,0.001
