group,epoch,mean_loss,min_loss,max_loss,last_loss,best_loss_so_far,val_iou
C,0,0.23111632993124953,0.1707964539527893,0.33640748262405396,0.19526340067386627,0.1707964539527893,
C,1,0.14714267737034595,0.11013981699943542,0.22289513051509857,0.15640588104724884,0.11013981699943542,
C,2,0.10198664093258406,0.07473171502351761,0.17893637716770172,0.0932474359869957,0.07473171502351761,
C,3,0.07390770270968929,0.05350157245993614,0.15484823286533356,0.11116127669811249,0.05350157245993614,
C,4,0.05674150872110116,0.04161122813820839,0.1316518634557724,0.06249509006738663,0.04161122813820839,
C,5,0.048015274935298495,0.03401030972599983,0.11922101676464081,0.03685422241687775,0.03401030972599983,
C,6,0.0387077144337724,0.02516244538128376,0.0708555355668068,0.038351841270923615,0.02516244538128376,
C,7,0.03362325539417339,0.02081865631043911,0.07158433645963669,0.02081865631043911,0.02081865631043911,
C,8,0.02974834716455503,0.018178272992372513,0.052758410573005676,0.020267274230718613,0.018178272992372513,
C,9,0.02796158150327627,0.015282714739441872,0.05577234923839569,0.015604046173393726,0.015282714739441872,
C,10,0.025312715134762152,0.013932064175605774,0.04563130438327789,0.02884126454591751,0.013932064175605774,
C,11,0.02480387000950298,0.013198932632803917,0.046423789113759995,0.03112151473760605,0.013198932632803917,
C,12,0.024379273923584306,0.013172744773328304,0.04348462447524071,0.021105792373418808,0.013172744773328304,
C,13,0.024028540927578102,0.012571137398481369,0.04478985443711281,0.023944536224007607,0.012571137398481369,
C,14,0.023674018022538434,0.012436816468834877,0.04304559901356697,0.028832921758294106,0.012436816468834877,
C,15,0.023362061789616792,0.011935929767787457,0.042835742235183716,0.022747613489627838,0.011935929767787457,
C,16,0.023036041005392267,0.011832647025585175,0.04132426530122757,0.03281215578317642,0.011832647025585175,
C,17,0.022901431412784137,0.012160005047917366,0.042190227657556534,0.01879601925611496,0.011832647025585175,
C,18,0.022679856686730577,0.011170509271323681,0.04119517281651497,0.029078029096126556,0.011170509271323681,
C,19,0.022266801888819295,0.011368267238140106,0.041038982570171356,0.03106817603111267,0.011170509271323681,
C,20,0.022080051693877185,0.010851025581359863,0.04039545729756355,0.016841407865285873,0.010851025581359863,
C,21,0.021977250577148163,0.011112627573311329,0.040696386247873306,0.026262950152158737,0.010851025581359863,
C,22,0.021866051696541936,0.01070075761526823,0.0407516211271286,0.022617440670728683,0.01070075761526823,
C,23,0.021889523104435267,0.010518601164221764,0.03902114927768707,0.02087334915995598,0.010518601164221764,
C,24,0.02196490443829033,0.01055693905800581,0.040477316826581955,0.021342910826206207,0.010518601164221764,
C,25,0.021814285006110715,0.010794897563755512,0.03989765793085098,0.014832726679742336,0.010518601164221764,
C,26,0.02173209588297389,0.011006904765963554,0.04369911924004555,0.014888444915413857,0.010518601164221764,
C,27,0.02171627294761364,0.010120338760316372,0.040063291788101196,0.01787737011909485,0.010120338760316372,
C,28,0.021743631498380142,0.010457871481776237,0.04090702906250954,0.020912878215312958,0.010120338760316372,
C,29,0.021749232594638762,0.010278526693582535,0.04227881506085396,0.020305443555116653,0.010120338760316372,
C,30,0.021611127409745346,0.010702891275286674,0.03962014615535736,0.023311017081141472,0.010120338760316372,
C,31,0.021671048036277896,0.010371481068432331,0.03938577324151993,0.023498738184571266,0.010120338760316372,
C,32,0.0216838697611232,0.010168462060391903,0.039842840284109116,0.0211179256439209,0.010120338760316372,
C,33,0.021539808636662935,0.010331101715564728,0.03967082500457764,0.03856008127331734,0.010120338760316372,
C,34,0.021653625417989913,0.010620074346661568,0.041131943464279175,0.014452860690653324,0.010120338760316372,
C,35,0.021640065916334137,0.010634551756083965,0.04005903750658035,0.022773735225200653,0.010120338760316372,
C,36,0.021671698447505033,0.010687950998544693,0.03968876227736473,0.02573433890938759,0.010120338760316372,
C,37,0.021675830086072285,0.010149328038096428,0.04060729965567589,0.015565822832286358,0.010120338760316372,
C,38,0.021647003413450838,0.010854197666049004,0.039538104087114334,0.025728290900588036,0.010120338760316372,
C,39,0.02169128211045807,0.01050588022917509,0.03934703767299652,0.03313690051436424,0.010120338760316372,
C,40,0.02168543002746924,0.010314183309674263,0.03954492136836052,0.021343527361750603,0.010120338760316372,0.3434486389160156
C,41,0.02170445698529783,0.010179455392062664,0.04060026630759239,0.025310227647423744,0.010120338760316372,0.3428833484649658
C,42,0.021574903702871365,0.010284758172929287,0.0399077907204628,0.01652771234512329,0.010120338760316372,0.34058666229248047
C,43,0.021616309674249753,0.010484248399734497,0.03969765827059746,0.03705791383981705,0.010120338760316372,0.34263721108436584
C,44,0.021631589855509576,0.010368281975388527,0.04048948734998703,0.013515064492821693,0.010120338760316372,0.3413918614387512
C,45,0.02167141086638275,0.01036154292523861,0.03906296193599701,0.016109362244606018,0.010120338760316372,0.34499791264533997
C,46,0.02160796189135072,0.010198569856584072,0.03971106931567192,0.02457478456199169,0.010120338760316372,0.3443896174430847
C,47,0.021596740348019984,0.010782565921545029,0.03986750543117523,0.01245949324220419,0.010120338760316372,0.3419850170612335
C,48,0.021520558029714257,0.010461930185556412,0.039722226560115814,0.024487819522619247,0.010120338760316372,0.34049850702285767
C,49,0.021751809931087374,0.010930977761745453,0.03945600986480713,0.021400319412350655,0.010120338760316372,0.3420807719230652
