group,epoch,batch,loss,lr
A,0,91,0.1795029640197754,0.001
A,0,92,0.1739480197429657,0.001
A,0,93,0.19178910553455353,0.001
A,0,94,0.1792718768119812,0.001
A,0,95,0.17109863460063934,0.001
A,0,96,0.18957450985908508,0.001
A,0,97,0.17098040878772736,0.001
A,0,98,0.17698998749256134,0.001
A,1,0,0.18376989662647247,0.001
A,1,1,0.16884687542915344,0.001
A,1,2,0.16739943623542786,0.001
A,1,3,0.18963772058486938,0.001
A,1,4,0.20237788558006287,0.001
A,1,5,0.1856456995010376,0.001
A,1,6,0.17791001498699188,0.001
A,1,7,0.1662658154964447,0.001
A,1,8,0.16921208798885345,0.001
A,1,9,0.1636575609445572,0.001
A,1,10,0.21159133315086365,0.001
A,1,11,0.17185428738594055,0.001
A,1,12,0.16607433557510376,0.001
A,1,13,0.1661154180765152,0.001
A,1,14,0.15881888568401337,0.001
A,1,15,0.16392360627651215,0.001
A,1,16,0.19465453922748566,0.001
A,1,17,0.15850500762462616,0.001
A,1,18,0.22777172923088074,0.001
A,1,19,0.1601867973804474,0.001
A,1,20,0.1572006344795227,0.001
A,1,21,0.15682464838027954,0.001
A,1,22,0.15868525207042694,0.001
A,1,23,0.15814638137817383,0.001
A,1,24,0.18058985471725464,0.001
A,1,25,0.1492188274860382,0.001
A,1,26,0.15175563097000122,0.001
A,1,27,0.155745729804039,0.001
A,1,28,0.1733631044626236,0.001
A,1,29,0.15071657299995422,0.001
A,1,30,0.17896036803722382,0.001
A,1,31,0.157516211271286,0.001
A,1,32,0.16157114505767822,0.001
A,1,33,0.14918960630893707,0.001
A,1,34,0.15343819558620453,0.001
A,1,35,0.15683810412883759,0.001
A,1,36,0.16753287613391876,0.001
A,1,37,0.1572621613740921,0.001
A,1,38,0.14728762209415436,0.001
A,1,39,0.161957249045372,0.001
A,1,40,0.14427538216114044,0.001
A,1,41,0.15614648163318634,0.001
A,1,42,0.14674365520477295,0.001
A,1,43,0.15068209171295166,0.001
A,1,44,0.14495237171649933,0.001
A,1,45,0.1479993611574173,0.001
A,1,46,0.14350643754005432,0.001
A,1,47,0.13995085656642914,0.001
A,1,48,0.14060132205486298,0.001
A,1,49,0.13976792991161346,0.001
A,1,50,0.13804103434085846,0.001
A,1,51,0.14446420967578888,0.001
A,1,52,0.1467919647693634,0.001
A,1,53,0.15435750782489777,0.001
A,1,54,0.1313639134168625,0.001
A,1,55,0.13795548677444458,0.001
A,1,56,0.13714653253555298,0.001
A,1,57,0.158492311835289,0.001
A,1,58,0.15732061862945557,0.001
A,1,59,0.13638727366924286,0.001
A,1,60,0.1392192393541336,0.001
A,1,61,0.17299123108386993,0.001
A,1,62,0.13168425858020782,0.001
A,1,63,0.1314147263765335,0.001
A,1,64,0.12971901893615723,0.001
A,1,65,0.143366277217865,0.001
A,1,66,0.13410599529743195,0.001
A,1,67,0.14594244956970215,0.001
A,1,68,0.1334458589553833,0.001
A,1,69,0.12636730074882507,0.001
A,1,70,0.1320778727531433,0.001
A,1,71,0.12977313995361328,0.001
A,1,72,0.12645471096038818,0.001
A,1,73,0.12489967793226242,0.001
A,1,74,0.1434488445520401,0.001
A,1,75,0.12419257313013077,0.001
A,1,76,0.1239684447646141,0.001
A,1,77,0.14529450237751007,0.001
A,1,78,0.12163060158491135,0.001
A,1,79,0.13923460245132446,0.001
A,1,80,0.12018962949514389,0.001
A,1,81,0.14662064611911774,0.001
A,1,82,0.11861811578273773,0.001
A,1,83,0.1236804947257042,0.001
A,1,84,0.1339135766029358,0.001
A,1,85,0.12198622524738312,0.001
A,1,86,0.13657404482364655,0.001
A,1,87,0.12113764137029648,0.001
A,1,88,0.1287630945444107,0.001
A,1,89,0.13208545744419098,0.001
A,1,90,0.12468550354242325,0.001
A,1,91,0.11580293625593185,0.001
A,1,92,0.11472786217927933,0.001
A,1,93,0.11368891596794128,0.001
A,1,94,0.13897579908370972,0.001
A,1,95,0.11271828413009644,0.001
A,1,96,0.1175873652100563,0.001
A,1,97,0.11131607741117477,0.001
A,1,98,0.18637292087078094,0.001
A,2,0,0.1165163666009903,0.001
A,2,1,0.11319775134325027,0.001
A,2,2,0.11868089437484741,0.001
A,2,3,0.1287938803434372,0.001
A,2,4,0.13353000581264496,0.001
A,2,5,0.1088225319981575,0.001
A,2,6,0.11342504620552063,0.001
A,2,7,0.10992413014173508,0.001
A,2,8,0.12627139687538147,0.001
A,2,9,0.12542378902435303,0.001
A,2,10,0.12300372868776321,0.001
A,2,11,0.10391747951507568,0.001
A,2,12,0.10575699061155319,0.001
A,2,13,0.10440155118703842,0.001
A,2,14,0.10924628376960754,0.001
A,2,15,0.10553839057683945,0.001
A,2,16,0.11836124211549759,0.001
A,2,17,0.10747096687555313,0.001
A,2,18,0.11424896866083145,0.001
A,2,19,0.10480553656816483,0.001
A,2,20,0.16142600774765015,0.001
A,2,21,0.1008063480257988,0.001
A,2,22,0.1033545657992363,0.001
A,2,23,0.11461672186851501,0.001
A,2,24,0.10827697813510895,0.001
A,2,25,0.14219525456428528,0.001
A,2,26,0.10111310333013535,0.001
A,2,27,0.09764766693115234,0.001
A,2,28,0.10217481106519699,0.001
A,2,29,0.10264985263347626,0.001
A,2,30,0.11235995590686798,0.001
A,2,31,0.09815966337919235,0.001
A,2,32,0.09918375313282013,0.001
A,2,33,0.09650354087352753,0.001
A,2,34,0.12064975500106812,0.001
A,2,35,0.11872576922178268,0.001
A,2,36,0.09986864775419235,0.001
A,2,37,0.11409362405538559,0.001
A,2,38,0.09553254395723343,0.001
A,2,39,0.10546115785837173,0.001
A,2,40,0.09539368748664856,0.001
A,2,41,0.12822329998016357,0.001
A,2,42,0.09397657215595245,0.001
A,2,43,0.10136737674474716,0.001
A,2,44,0.09845734387636185,0.001
A,2,45,0.09388092905282974,0.001
A,2,46,0.09471113234758377,0.001
A,2,47,0.1066584661602974,0.001
A,2,48,0.09234821051359177,0.001
A,2,49,0.0886816531419754,0.001
A,2,50,0.1077793538570404,0.001
A,2,51,0.10288512706756592,0.001
A,2,52,0.12425370514392853,0.001
A,2,53,0.10922736674547195,0.001
A,2,54,0.08695393800735474,0.001
A,2,55,0.08715122193098068,0.001
A,2,56,0.08807863295078278,0.001
A,2,57,0.08803325891494751,0.001
A,2,58,0.0857492983341217,0.001
A,2,59,0.10188199579715729,0.001
A,2,60,0.09038864821195602,0.001
A,2,61,0.08543335646390915,0.001
A,2,62,0.08337921649217606,0.001
A,2,63,0.09676813334226608,0.001
A,2,64,0.09826306253671646,0.001
A,2,65,0.09208207577466965,0.001
A,2,66,0.08753381669521332,0.001
A,2,67,0.08623433113098145,0.001
A,2,68,0.08333928138017654,0.001
A,2,69,0.08830077946186066,0.001
A,2,70,0.13487842679023743,0.001
A,2,71,0.08389118313789368,0.001
A,2,72,0.08464307337999344,0.001
A,2,73,0.10476016253232956,0.001
A,2,74,0.08110255002975464,0.001
A,2,75,0.08418356627225876,0.001
A,2,76,0.09322647750377655,0.001
A,2,77,0.08419761806726456,0.001
A,2,78,0.10266533493995667,0.001
A,2,79,0.12067152559757233,0.001
A,2,80,0.08367017656564713,0.001
A,2,81,0.09370964765548706,0.001
