group,epoch,mean_loss,min_loss,max_loss,last_loss,best_loss_so_far,val_iou
A,0,0.23045730214528362,0.17098040878772736,0.33424103260040283,0.17698998749256134,0.17098040878772736,
A,1,0.14902668453828252,0.11131607741117477,0.22777172923088074,0.18637292087078094,0.11131607741117477,
A,2,0.10147397054566278,0.07372551411390305,0.16142600774765015,0.08173099160194397,0.07372551411390305,
A,3,0.07312437451698563,0.052571408450603485,0.15221288800239563,0.14008603990077972,0.052571408450603485,
A,4,0.05505095648043083,0.03797343373298645,0.12205517292022705,0.04179740324616432,0.03797343373298645,
A,5,0.04500865676637852,0.03128604590892792,0.11016308516263962,0.11016308516263962,0.03128604590892792,
A,6,0.038861812402804695,0.026092926040291786,0.11338295787572861,0.046351950615644455,0.026092926040291786,
A,7,0.03319394024032535,0.021267030388116837,0.08558735996484756,0.03622467443346977,0.021267030388116837,
A,8,0.030251176501012812,0.019331088289618492,0.07661604881286621,0.026353076100349426,0.019331088289618492,
A,9,0.02767744062073303,0.016114626079797745,0.06706231087446213,0.03674604371190071,0.016114626079797745,
A,10,0.025528787004977765,0.01476073544472456,0.06313914060592651,0.018143242225050926,0.01476073544472456,
A,11,0.025043705873417133,0.014653442427515984,0.06019710376858711,0.025557545945048332,0.014653442427515984,
A,12,0.02488578725229911,0.01439057569950819,0.06275665014982224,0.019916780292987823,0.01439057569950819,
A,13,0.02460837019889644,0.014083932153880596,0.061282385140657425,0.028774701058864594,0.014083932153880596,
A,14,0.02426145486345496,0.013648432679474354,0.05505971610546112,0.016991781070828438,0.013648432679474354,
A,15,0.024113179551381054,0.013660591095685959,0.052695371210575104,0.02306157536804676,0.013648432679474354,
A,16,0.023728104750390607,0.013205406256020069,0.05283566936850548,0.020157599821686745,0.013205406256020069,
A,17,0.02359170819435156,0.0129990354180336,0.050146088004112244,0.01842491328716278,0.0129990354180336,
A,18,0.023231220337552854,0.013238715939223766,0.0489744171500206,0.02618308924138546,0.0129990354180336,
A,19,0.023044301403893366,0.012992778792977333,0.045855600386857986,0.018977900967001915,0.012992778792977333,
A,20,0.022732609929987276,0.012529761530458927,0.04461272060871124,0.021625317633152008,0.012529761530458927,
A,21,0.022706183793042043,0.01259677391499281,0.0435972586274147,0.017677610740065575,0.012529761530458927,
A,22,0.02267312653588526,0.01249014027416706,0.04309384897351265,0.02335396595299244,0.01249014027416706,
A,23,0.02257239987904375,0.012894791550934315,0.046603403985500336,0.016953593119978905,0.01249014027416706,
A,24,0.022500476037914104,0.012673495337367058,0.04644041135907173,0.02608555182814598,0.01249014027416706,
A,25,0.02258194965131656,0.012915513478219509,0.044985052198171616,0.01864570751786232,0.01249014027416706,
A,26,0.02250378422740132,0.012465501204133034,0.04461744427680969,0.01688382588326931,0.012465501204133034,
A,27,0.02253187240825759,0.012135431170463562,0.0425695963203907,0.016520915552973747,0.012135431170463562,
A,28,0.02239280157355648,0.012137554585933685,0.04097357764840126,0.019090117886662483,0.012135431170463562,
A,29,0.022370755305570183,0.012405509129166603,0.04511014744639397,0.021553456783294678,0.012135431170463562,
A,30,0.022336198421514998,0.01225220039486885,0.04182281717658043,0.020801495760679245,0.012135431170463562,
A,31,0.022303564643318004,0.012429970316588879,0.043862853199243546,0.023303020745515823,0.012135431170463562,
A,32,0.02232068967111785,0.01240503415465355,0.041971031576395035,0.033964257687330246,0.012135431170463562,
A,33,0.02246007657224181,0.012248041108250618,0.04227251559495926,0.015152757056057453,0.012135431170463562,
A,34,0.02253756882867428,0.012431620620191097,0.0420994833111763,0.01673063077032566,0.012135431170463562,
A,35,0.02230062379943903,0.012227178551256657,0.04342043399810791,0.01645519584417343,0.012135431170463562,
A,36,0.02249590814527538,0.012179785408079624,0.045557621866464615,0.01985180377960205,0.012135431170463562,
A,37,0.02242169591287772,0.012448773719370365,0.043142423033714294,0.01685158908367157,0.012135431170463562,
A,38,0.02232887154689642,0.012357247993350029,0.04220810905098915,0.020498817786574364,0.012135431170463562,
A,39,0.022282384524140695,0.01226450689136982,0.041291847825050354,0.012959353625774384,0.012135431170463562,
A,40,0.022437992468100004,0.012146728113293648,0.042308203876018524,0.02182818204164505,0.012135431170463562,0.3560504615306854
A,41,0.022255633317987727,0.012092571705579758,0.040097951889038086,0.016124147921800613,0.012092571705579758,0.35695114731788635
A,42,0.022436265419754717,0.011681191623210907,0.042993661016225815,0.026041850447654724,0.011681191623210907,0.3560624420642853
A,43,0.022498648877095694,0.012118187732994556,0.04271179065108299,0.03317727893590927,0.011681191623210907,0.3564434051513672
A,44,0.02243344662616951,0.012453089468181133,0.04159107431769371,0.024339584633708,0.011681191623210907,0.3542098104953766
A,45,0.02230337680778419,0.01241899561136961,0.044684555381536484,0.017470257356762886,0.011681191623210907,0.3537367582321167
A,46,0.022327692200890696,0.012363691814243793,0.04208197072148323,0.016647908836603165,0.011681191623210907,0.3565778136253357
A,47,0.02234100257846141,0.012043922208249569,0.04433700442314148,0.014923914335668087,0.011681191623210907,0.35768789052963257
A,48,0.022244899458430632,0.01198117621243,0.04311281815171242,0.016802795231342316,0.011681191623210907,0.3526669442653656
A,49,0.02237031352941436,0.012027500197291374,0.04078735411167145,0.025813786312937737,0.011681191623210907,0.3544383943080902
