target_fa,baseline_pd,leaky_pd,delta_pd
0.001,,,
0.002,0.767331908679108,0.8166509540888512,0.04931904540974319
0.005,0.8470563291297919,0.8655368459758664,0.018480516846074546
0.01,0.8789314800658503,0.8948267656203223,0.01589528555447195
