version,iou,seg_acc,pd,fa
v0.0.2 LeakyReLU,0.351111,0.710027,0.796304,0.001275
v3.0.0 d/L*/C/T,0.39465070817073994,0.804369065429121,0.8236035279294414,0.0015417892434543285
