epoch,mean_loss
1,0.7900873160362244
2,0.5360954034328461
3,0.4487838065624237
4,0.3957195162773132
5,0.36328489899635313
6,0.33262360394001006
7,0.29371118783950806
8,0.26315994501113893
9,0.2371332424879074
10,0.21879792749881743
11,0.1997172552347183
12,0.18198353439569473
13,0.17550118744373322
14,0.16674506932497024
15,0.17128957986831664
16,0.14803549736738206
17,0.14151837855577468
18,0.13886611849069597
19,0.15308346778154372
20,0.12440286010503769
21,0.11627063244581222
22,0.10270339220762253
23,0.10120032414793968
24,0.0916866172850132
25,0.09715302482247352
26,0.13519230037927626
27,0.10775246694684029
28,0.09316673800349236
29,0.08341495648026466
30,0.08011865437030792
31,0.07358446031808853
32,0.07425300240516662
33,0.07626537665724754
34,0.07837444931268692
35,0.09035203382372856
36,0.10166575968265533
37,0.09924963399767876
38,0.09503985613584519
39,0.07712166085839271
40,0.06712527461349964
41,0.06053179420530796
42,0.060245793238282205
43,0.05647708013653755
44,0.0572874078899622
45,0.06608814001083374
46,0.06283994778990745
47,0.05624374352395534
48,0.054320856854319574
49,0.0500961235165596
50,0.04851839609444141
