metric,v3.0.0,v3.1.0,delta,relative_delta
IoU,0.39465070817073994,0.5465782122905027,0.15192750411976276,0.3849670705178671
seg_acc,0.804369065429121,0.8363966659542638,0.03202760052514279,0.03981642289173787
PD,0.8236035279294414,0.8481730365392692,0.02456950860982784,0.029830504723288573
FA,0.0015417892434543285,0.0008104644471221989,-0.0007313247963321296,-0.4743351603025417
