version,short,iou,seg_acc,pd,fa
v0.0.2 LeakyReLU,002,0.351111,0.710027,0.796304,0.001275
v2.1.0 v002_slope_0p005,210,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739
v3.1.0 max50000_seed316,310,0.5465782122905027,0.8363966659542638,0.8481730365392692,0.0008104644471221989
