epoch,mean_loss,min_loss,max_loss,best_loss,val_iou,val_seg_acc,val_pd,val_fa
0,0.47739828746728225,0.2987615764141083,0.6941261291503906,0.2987615764141083,,,,
1,0.316160641535364,0.14444783329963684,0.5194907784461975,0.14444783329963684,,,,
2,0.23059689411611267,0.10275440663099289,0.42980194091796875,0.10275440663099289,,,,
3,0.1829543010604502,0.08496800065040588,0.4020324647426605,0.08496800065040588,,,,
4,0.16167564991146627,0.07355809211730957,0.46636202931404114,0.07355809211730957,,,,
5,0.15705907645851674,0.07349918782711029,0.37258172035217285,0.07349918782711029,,,,
6,0.1382386123366428,0.05513766035437584,0.35587698221206665,0.05513766035437584,,,,
7,0.13367327031764117,0.0609259232878685,0.3388681411743164,0.05513766035437584,,,,
8,0.12623615453791137,0.05218201130628586,0.33622610569000244,0.05218201130628586,,,,
9,0.12028483530939227,0.050405532121658325,0.34487682580947876,0.050405532121658325,,,,
10,0.11453791530896919,0.04362217336893082,0.3184393048286438,0.04362217336893082,,,,
11,0.10957546528391164,0.03892282769083977,0.3243899643421173,0.03892282769083977,,,,
12,0.107661777335887,0.03880587965250015,0.31499433517456055,0.03880587965250015,,,,
13,0.10530979336813243,0.03898496925830841,0.315056174993515,0.03880587965250015,,,,
14,0.10400419787626074,0.038543686270713806,0.2829406261444092,0.038543686270713806,,,,
15,0.10271737141290097,0.040955670177936554,0.30517297983169556,0.038543686270713806,,,,
16,0.10076843488095986,0.03600146621465683,0.3248712122440338,0.03600146621465683,,,,
17,0.10092951154167001,0.031937211751937866,0.29258885979652405,0.031937211751937866,,,,
18,0.0999696489160109,0.03687940537929535,0.293461412191391,0.031937211751937866,,,,
19,0.09924488932345853,0.03679480031132698,0.2941150665283203,0.031937211751937866,,,,
20,0.09607381968185155,0.03139772266149521,0.2843414545059204,0.03139772266149521,,,,
21,0.09720269756184684,0.03134940564632416,0.2895136773586273,0.03134940564632416,,,,
22,0.09463361936687219,0.031814657151699066,0.3123394250869751,0.03134940564632416,,,,
23,0.09745607054745307,0.031245257705450058,0.2845458388328552,0.031245257705450058,,,,
24,0.09675614976070145,0.02844555675983429,0.2961580753326416,0.02844555675983429,,,,
25,0.09719242554421377,0.03468172252178192,0.28181394934654236,0.02844555675983429,,,,
26,0.09460922473608846,0.030989978462457657,0.29794102907180786,0.02844555675983429,,,,
27,0.09455776929554313,0.03167606145143509,0.2909310460090637,0.02844555675983429,,,,
28,0.09572440043392808,0.03162194415926933,0.30348026752471924,0.02844555675983429,,,,
29,0.09531412691329465,0.026313602924346924,0.28895100951194763,0.026313602924346924,,,,
30,0.09585723527377904,0.027936844155192375,0.3115231990814209,0.026313602924346924,,,,
31,0.09525394063405317,0.03228908032178879,0.289417028427124,0.026313602924346924,,,,
32,0.09525707029182502,0.03178887814283371,0.29707977175712585,0.026313602924346924,,,,
33,0.09521653465550355,0.027556031942367554,0.2788498103618622,0.026313602924346924,,,,
34,0.09430251513240916,0.030144045129418373,0.2803133428096771,0.026313602924346924,,,,
35,0.09533346226119031,0.03241714835166931,0.30594494938850403,0.026313602924346924,,,,
36,0.09508687690502465,0.029431644827127457,0.279162734746933,0.026313602924346924,,,,
37,0.09668103947934478,0.030963096767663956,0.328304648399353,0.026313602924346924,,,,
38,0.09555965189756167,0.02834789641201496,0.2802686095237732,0.026313602924346924,,,,
39,0.09441717578606172,0.029692579060792923,0.29792022705078125,0.026313602924346924,,,,
40,0.09490177136930553,0.026707030832767487,0.27387547492980957,0.026313602924346924,0.7108133454951888,0.8446401856318505,0.8328433431331373,0.00023659828438320373
41,0.09456178673891107,0.03188815712928772,0.27523690462112427,0.026313602924346924,0.7080301355069296,0.8407168808964064,0.8309533809323814,0.00023086249657511843
42,0.09451400255314027,0.03189291059970856,0.2925339341163635,0.026313602924346924,0.7072655626239472,0.838427014319299,0.8280134397312053,0.0002244986163004453
43,0.09555583277886565,0.030952345579862595,0.2752190828323364,0.026313602924346924,0.7120971257147253,0.8479375935028852,0.8349433011339773,0.00024155191930836829
44,0.09581253060487786,0.028604935854673386,0.30915728211402893,0.026313602924346924,0.7124943906660683,0.8483345037095839,0.8362032759344813,0.00024329694979336944
45,0.09440531664424473,0.02935684099793434,0.28421783447265625,0.026313602924346924,0.7114106019766397,0.84612096601838,0.8341033179336413,0.00023796408922800087
46,0.09545553818044036,0.029639340937137604,0.2784249782562256,0.026313602924346924,0.7092878342091401,0.8427624950386224,0.8326333473330534,0.00023324154492733562
47,0.094505743471661,0.03180668130517006,0.28671038150787354,0.026313602924346924,0.7068745734777179,0.8380606356669618,0.8275934481310374,0.00022507338016137946
48,0.09581441887550884,0.03011421114206314,0.2982816696166992,0.026313602924346924,0.707582761417921,0.8389002534119012,0.8282234355312894,0.00022506449206043718
49,0.09426010110312039,0.028208937495946884,0.28951191902160645,0.026313602924346924,0.7107025556810017,0.8456477269257778,0.8343133137337253,0.00023897140733479273
