epoch,batch,loss,main_loss,trajectory_projection_dice_loss,trajectory_direction_loss,trajectory_projection_dice_weight,trajectory_direction_weight,lr
0,0,0.6941261291503906,0.31210994720458984,0.971331775188446,0.4530831277370453,0.3,0.2,0.001
0,1,0.6394250988960266,0.2932755649089813,0.9740307331085205,0.2697015702724457,0.3,0.2,0.001
0,2,0.6233887672424316,0.28495198488235474,0.855887770652771,0.4083520770072937,0.3,0.2,0.001
0,3,0.6346184611320496,0.2646200656890869,0.9127369523048401,0.4808864891529083,0.3,0.2,0.001
0,4,0.5957781672477722,0.29024749994277954,0.8068639039993286,0.3173573613166809,0.3,0.2,0.001
0,5,0.6302239298820496,0.25459736585617065,0.8909475207328796,0.5417113304138184,0.3,0.2,0.001
0,6,0.59273761510849,0.2750038206577301,0.6500116586685181,0.6136513352394104,0.3,0.2,0.001
0,7,0.6488718390464783,0.23488618433475494,0.9384546875953674,0.6622459888458252,0.3,0.2,0.001
0,8,0.5526003241539001,0.24119044840335846,0.7808678150177002,0.3857475817203522,0.3,0.2,0.001
0,9,0.5360802412033081,0.23205512762069702,0.6921420097351074,0.4819124937057495,0.3,0.2,0.001
0,10,0.5893871188163757,0.2163805365562439,0.8737193942070007,0.5544537305831909,0.3,0.2,0.001
0,11,0.4890660047531128,0.2237277328968048,0.6334331035614014,0.3765416145324707,0.3,0.2,0.001
0,12,0.5446714758872986,0.2119588702917099,0.8850767612457275,0.3359479308128357,0.3,0.2,0.001
0,13,0.5748708844184875,0.2336021065711975,0.8438348770141602,0.4405916631221771,0.3,0.2,0.001
0,14,0.4342446029186249,0.2039315104484558,0.5744920372962952,0.28982746601104736,0.3,0.2,0.001
0,15,0.5355503559112549,0.21241502463817596,0.7793213725090027,0.44669437408447266,0.3,0.2,0.001
0,16,0.5953324437141418,0.21121741831302643,0.9462573528289795,0.5011889934539795,0.3,0.2,0.001
0,17,0.5403393507003784,0.19500486552715302,0.8645806312561035,0.4298012852668762,0.3,0.2,0.001
0,18,0.5154659152030945,0.19652476906776428,0.7547071576118469,0.4626449942588806,0.3,0.2,0.001
0,19,0.529974639415741,0.18329574167728424,0.8276662826538086,0.4918949604034424,0.3,0.2,0.001
0,20,0.5018512010574341,0.18825694918632507,0.6408818364143372,0.6066485047340393,0.3,0.2,0.001
0,21,0.5435024499893188,0.20149767398834229,0.8489844799041748,0.43654701113700867,0.3,0.2,0.001
